#result,duration(ms),initial_time,final_time
1,5419,Thu Sep 02 02:52:38 BRT 2021,Thu Sep 02 02:52:44 BRT 2021
0,1163,Thu Sep 02 02:52:44 BRT 2021,Thu Sep 02 02:52:45 BRT 2021
0,1740,Thu Sep 02 02:52:45 BRT 2021,Thu Sep 02 02:52:47 BRT 2021
1,1178,Thu Sep 02 02:52:47 BRT 2021,Thu Sep 02 02:52:48 BRT 2021
0,1171,Thu Sep 02 02:52:48 BRT 2021,Thu Sep 02 02:52:49 BRT 2021
0,1299,Thu Sep 02 02:52:49 BRT 2021,Thu Sep 02 02:52:50 BRT 2021
0,1726,Thu Sep 02 02:52:50 BRT 2021,Thu Sep 02 02:52:52 BRT 2021
1,777,Thu Sep 02 02:52:52 BRT 2021,Thu Sep 02 02:52:53 BRT 2021
0,909,Thu Sep 02 02:52:53 BRT 2021,Thu Sep 02 02:52:54 BRT 2021
1,689,Thu Sep 02 02:52:54 BRT 2021,Thu Sep 02 02:52:54 BRT 2021
1,888,Thu Sep 02 02:52:54 BRT 2021,Thu Sep 02 02:52:55 BRT 2021
0,692,Thu Sep 02 02:52:55 BRT 2021,Thu Sep 02 02:52:56 BRT 2021
0,1106,Thu Sep 02 02:52:56 BRT 2021,Thu Sep 02 02:52:57 BRT 2021
0,802,Thu Sep 02 02:52:57 BRT 2021,Thu Sep 02 02:52:58 BRT 2021
0,1480,Thu Sep 02 02:52:58 BRT 2021,Thu Sep 02 02:52:59 BRT 2021
0,708,Thu Sep 02 02:52:59 BRT 2021,Thu Sep 02 02:53:00 BRT 2021
0,567,Thu Sep 02 02:53:00 BRT 2021,Thu Sep 02 02:53:01 BRT 2021
0,1867,Thu Sep 02 02:53:01 BRT 2021,Thu Sep 02 02:53:03 BRT 2021
0,677,Thu Sep 02 02:53:03 BRT 2021,Thu Sep 02 02:53:03 BRT 2021
1,889,Thu Sep 02 02:53:03 BRT 2021,Thu Sep 02 02:53:04 BRT 2021
0,488,Thu Sep 02 02:53:04 BRT 2021,Thu Sep 02 02:53:05 BRT 2021
0,516,Thu Sep 02 02:53:05 BRT 2021,Thu Sep 02 02:53:05 BRT 2021
0,538,Thu Sep 02 02:53:05 BRT 2021,Thu Sep 02 02:53:06 BRT 2021
0,450,Thu Sep 02 02:53:06 BRT 2021,Thu Sep 02 02:53:06 BRT 2021
0,865,Thu Sep 02 02:53:06 BRT 2021,Thu Sep 02 02:53:07 BRT 2021
0,619,Thu Sep 02 02:53:07 BRT 2021,Thu Sep 02 02:53:08 BRT 2021
0,611,Thu Sep 02 02:53:08 BRT 2021,Thu Sep 02 02:53:08 BRT 2021
1,788,Thu Sep 02 02:53:08 BRT 2021,Thu Sep 02 02:53:09 BRT 2021
0,748,Thu Sep 02 02:53:09 BRT 2021,Thu Sep 02 02:53:10 BRT 2021
0,917,Thu Sep 02 02:53:10 BRT 2021,Thu Sep 02 02:53:11 BRT 2021
0,1246,Thu Sep 02 02:53:11 BRT 2021,Thu Sep 02 02:53:12 BRT 2021
0,1051,Thu Sep 02 02:53:12 BRT 2021,Thu Sep 02 02:53:13 BRT 2021
0,512,Thu Sep 02 02:53:13 BRT 2021,Thu Sep 02 02:53:14 BRT 2021
0,1098,Thu Sep 02 02:53:14 BRT 2021,Thu Sep 02 02:53:15 BRT 2021
1,1878,Thu Sep 02 02:53:15 BRT 2021,Thu Sep 02 02:53:17 BRT 2021
0,1027,Thu Sep 02 02:53:17 BRT 2021,Thu Sep 02 02:53:18 BRT 2021
0,1043,Thu Sep 02 02:53:18 BRT 2021,Thu Sep 02 02:53:19 BRT 2021
0,622,Thu Sep 02 02:53:19 BRT 2021,Thu Sep 02 02:53:19 BRT 2021
0,965,Thu Sep 02 02:53:19 BRT 2021,Thu Sep 02 02:53:20 BRT 2021
0,578,Thu Sep 02 02:53:20 BRT 2021,Thu Sep 02 02:53:21 BRT 2021
1,1068,Thu Sep 02 02:53:21 BRT 2021,Thu Sep 02 02:53:22 BRT 2021
0,662,Thu Sep 02 02:53:22 BRT 2021,Thu Sep 02 02:53:22 BRT 2021
0,1084,Thu Sep 02 02:53:22 BRT 2021,Thu Sep 02 02:53:24 BRT 2021
0,1014,Thu Sep 02 02:53:24 BRT 2021,Thu Sep 02 02:53:25 BRT 2021
1,932,Thu Sep 02 02:53:25 BRT 2021,Thu Sep 02 02:53:26 BRT 2021
0,478,Thu Sep 02 02:53:26 BRT 2021,Thu Sep 02 02:53:26 BRT 2021
0,657,Thu Sep 02 02:53:26 BRT 2021,Thu Sep 02 02:53:27 BRT 2021
0,1121,Thu Sep 02 02:53:27 BRT 2021,Thu Sep 02 02:53:28 BRT 2021
1,860,Thu Sep 02 02:53:28 BRT 2021,Thu Sep 02 02:53:29 BRT 2021
0,643,Thu Sep 02 02:53:29 BRT 2021,Thu Sep 02 02:53:29 BRT 2021
1,828,Thu Sep 02 02:53:29 BRT 2021,Thu Sep 02 02:53:30 BRT 2021
0,1201,Thu Sep 02 02:53:30 BRT 2021,Thu Sep 02 02:53:31 BRT 2021
0,1154,Thu Sep 02 02:53:31 BRT 2021,Thu Sep 02 02:53:32 BRT 2021
1,1598,Thu Sep 02 02:53:32 BRT 2021,Thu Sep 02 02:53:34 BRT 2021
0,763,Thu Sep 02 02:53:34 BRT 2021,Thu Sep 02 02:53:35 BRT 2021
0,1083,Thu Sep 02 02:53:35 BRT 2021,Thu Sep 02 02:53:36 BRT 2021
0,545,Thu Sep 02 02:53:36 BRT 2021,Thu Sep 02 02:53:36 BRT 2021
0,835,Thu Sep 02 02:53:36 BRT 2021,Thu Sep 02 02:53:37 BRT 2021
0,542,Thu Sep 02 02:53:37 BRT 2021,Thu Sep 02 02:53:38 BRT 2021
0,536,Thu Sep 02 02:53:38 BRT 2021,Thu Sep 02 02:53:38 BRT 2021
0,776,Thu Sep 02 02:53:38 BRT 2021,Thu Sep 02 02:53:39 BRT 2021
0,488,Thu Sep 02 02:53:39 BRT 2021,Thu Sep 02 02:53:40 BRT 2021
0,613,Thu Sep 02 02:53:40 BRT 2021,Thu Sep 02 02:53:40 BRT 2021
0,1108,Thu Sep 02 02:53:40 BRT 2021,Thu Sep 02 02:53:41 BRT 2021
1,915,Thu Sep 02 02:53:41 BRT 2021,Thu Sep 02 02:53:42 BRT 2021
0,596,Thu Sep 02 02:53:42 BRT 2021,Thu Sep 02 02:53:43 BRT 2021
0,532,Thu Sep 02 02:53:43 BRT 2021,Thu Sep 02 02:53:43 BRT 2021
0,1052,Thu Sep 02 02:53:43 BRT 2021,Thu Sep 02 02:53:44 BRT 2021
0,522,Thu Sep 02 02:53:44 BRT 2021,Thu Sep 02 02:53:45 BRT 2021
0,667,Thu Sep 02 02:53:45 BRT 2021,Thu Sep 02 02:53:46 BRT 2021
0,490,Thu Sep 02 02:53:46 BRT 2021,Thu Sep 02 02:53:46 BRT 2021
0,1678,Thu Sep 02 02:53:46 BRT 2021,Thu Sep 02 02:53:48 BRT 2021
0,629,Thu Sep 02 02:53:48 BRT 2021,Thu Sep 02 02:53:48 BRT 2021
0,1073,Thu Sep 02 02:53:48 BRT 2021,Thu Sep 02 02:53:49 BRT 2021
0,608,Thu Sep 02 02:53:49 BRT 2021,Thu Sep 02 02:53:50 BRT 2021
0,846,Thu Sep 02 02:53:50 BRT 2021,Thu Sep 02 02:53:51 BRT 2021
0,1108,Thu Sep 02 02:53:51 BRT 2021,Thu Sep 02 02:53:52 BRT 2021
0,846,Thu Sep 02 02:53:52 BRT 2021,Thu Sep 02 02:53:53 BRT 2021
0,839,Thu Sep 02 02:53:53 BRT 2021,Thu Sep 02 02:53:54 BRT 2021
0,1471,Thu Sep 02 02:53:54 BRT 2021,Thu Sep 02 02:53:55 BRT 2021
1,831,Thu Sep 02 02:53:55 BRT 2021,Thu Sep 02 02:53:56 BRT 2021
0,1045,Thu Sep 02 02:53:56 BRT 2021,Thu Sep 02 02:53:57 BRT 2021
0,526,Thu Sep 02 02:53:57 BRT 2021,Thu Sep 02 02:53:58 BRT 2021
1,1109,Thu Sep 02 02:53:58 BRT 2021,Thu Sep 02 02:53:59 BRT 2021
0,987,Thu Sep 02 02:53:59 BRT 2021,Thu Sep 02 02:54:00 BRT 2021
1,1514,Thu Sep 02 02:54:00 BRT 2021,Thu Sep 02 02:54:01 BRT 2021
0,860,Thu Sep 02 02:54:01 BRT 2021,Thu Sep 02 02:54:02 BRT 2021
1,809,Thu Sep 02 02:54:02 BRT 2021,Thu Sep 02 02:54:03 BRT 2021
0,1071,Thu Sep 02 02:54:03 BRT 2021,Thu Sep 02 02:54:04 BRT 2021
0,1041,Thu Sep 02 02:54:04 BRT 2021,Thu Sep 02 02:54:05 BRT 2021
0,533,Thu Sep 02 02:54:05 BRT 2021,Thu Sep 02 02:54:06 BRT 2021
0,823,Thu Sep 02 02:54:06 BRT 2021,Thu Sep 02 02:54:06 BRT 2021
0,1179,Thu Sep 02 02:54:06 BRT 2021,Thu Sep 02 02:54:08 BRT 2021
-1,1996,Thu Sep 02 02:54:08 BRT 2021,Thu Sep 02 02:54:10 BRT 2021
0,579,Thu Sep 02 02:54:10 BRT 2021,Thu Sep 02 02:54:10 BRT 2021
0,477,Thu Sep 02 02:54:10 BRT 2021,Thu Sep 02 02:54:11 BRT 2021
0,1811,Thu Sep 02 02:54:11 BRT 2021,Thu Sep 02 02:54:12 BRT 2021
1,911,Thu Sep 02 02:54:12 BRT 2021,Thu Sep 02 02:54:13 BRT 2021
0,535,Thu Sep 02 02:54:13 BRT 2021,Thu Sep 02 02:54:14 BRT 2021
0,495,Thu Sep 02 02:54:14 BRT 2021,Thu Sep 02 02:54:14 BRT 2021
0,869,Thu Sep 02 02:54:14 BRT 2021,Thu Sep 02 02:54:15 BRT 2021
1,865,Thu Sep 02 02:54:15 BRT 2021,Thu Sep 02 02:54:16 BRT 2021
0,1236,Thu Sep 02 02:54:16 BRT 2021,Thu Sep 02 02:54:17 BRT 2021
1,1293,Thu Sep 02 02:54:17 BRT 2021,Thu Sep 02 02:54:19 BRT 2021
0,944,Thu Sep 02 02:54:19 BRT 2021,Thu Sep 02 02:54:20 BRT 2021
0,565,Thu Sep 02 02:54:20 BRT 2021,Thu Sep 02 02:54:20 BRT 2021
0,915,Thu Sep 02 02:54:20 BRT 2021,Thu Sep 02 02:54:21 BRT 2021
0,615,Thu Sep 02 02:54:21 BRT 2021,Thu Sep 02 02:54:22 BRT 2021
0,1622,Thu Sep 02 02:54:22 BRT 2021,Thu Sep 02 02:54:23 BRT 2021
0,1251,Thu Sep 02 02:54:23 BRT 2021,Thu Sep 02 02:54:25 BRT 2021
1,676,Thu Sep 02 02:54:25 BRT 2021,Thu Sep 02 02:54:25 BRT 2021
0,554,Thu Sep 02 02:54:25 BRT 2021,Thu Sep 02 02:54:26 BRT 2021
0,1045,Thu Sep 02 02:54:26 BRT 2021,Thu Sep 02 02:54:27 BRT 2021
0,925,Thu Sep 02 02:54:27 BRT 2021,Thu Sep 02 02:54:28 BRT 2021
0,587,Thu Sep 02 02:54:28 BRT 2021,Thu Sep 02 02:54:28 BRT 2021
0,992,Thu Sep 02 02:54:28 BRT 2021,Thu Sep 02 02:54:29 BRT 2021
0,738,Thu Sep 02 02:54:29 BRT 2021,Thu Sep 02 02:54:30 BRT 2021
1,959,Thu Sep 02 02:54:30 BRT 2021,Thu Sep 02 02:54:31 BRT 2021
0,506,Thu Sep 02 02:54:31 BRT 2021,Thu Sep 02 02:54:32 BRT 2021
0,1078,Thu Sep 02 02:54:32 BRT 2021,Thu Sep 02 02:54:33 BRT 2021
1,1097,Thu Sep 02 02:54:33 BRT 2021,Thu Sep 02 02:54:34 BRT 2021
1,866,Thu Sep 02 02:54:34 BRT 2021,Thu Sep 02 02:54:35 BRT 2021
0,862,Thu Sep 02 02:54:35 BRT 2021,Thu Sep 02 02:54:35 BRT 2021
1,1776,Thu Sep 02 02:54:35 BRT 2021,Thu Sep 02 02:54:37 BRT 2021
1,729,Thu Sep 02 02:54:37 BRT 2021,Thu Sep 02 02:54:38 BRT 2021
0,1401,Thu Sep 02 02:54:38 BRT 2021,Thu Sep 02 02:54:39 BRT 2021
1,1389,Thu Sep 02 02:54:39 BRT 2021,Thu Sep 02 02:54:41 BRT 2021
0,1847,Thu Sep 02 02:54:41 BRT 2021,Thu Sep 02 02:54:43 BRT 2021
1,1046,Thu Sep 02 02:54:43 BRT 2021,Thu Sep 02 02:54:44 BRT 2021
0,1066,Thu Sep 02 02:54:44 BRT 2021,Thu Sep 02 02:54:45 BRT 2021
1,1391,Thu Sep 02 02:54:45 BRT 2021,Thu Sep 02 02:54:46 BRT 2021
1,1323,Thu Sep 02 02:54:46 BRT 2021,Thu Sep 02 02:54:47 BRT 2021
1,1167,Thu Sep 02 02:54:47 BRT 2021,Thu Sep 02 02:54:49 BRT 2021
1,1274,Thu Sep 02 02:54:49 BRT 2021,Thu Sep 02 02:54:50 BRT 2021
0,648,Thu Sep 02 02:54:50 BRT 2021,Thu Sep 02 02:54:50 BRT 2021
0,1050,Thu Sep 02 02:54:50 BRT 2021,Thu Sep 02 02:54:52 BRT 2021
