#result,duration(ms),initial_time,final_time
0,3798,Thu Sep 02 10:25:31 BRT 2021,Thu Sep 02 10:25:35 BRT 2021
1,4502,Thu Sep 02 10:25:35 BRT 2021,Thu Sep 02 10:25:40 BRT 2021
0,2399,Thu Sep 02 10:25:40 BRT 2021,Thu Sep 02 10:25:42 BRT 2021
0,2409,Thu Sep 02 10:25:42 BRT 2021,Thu Sep 02 10:25:45 BRT 2021
0,2111,Thu Sep 02 10:25:45 BRT 2021,Thu Sep 02 10:25:47 BRT 2021
0,1410,Thu Sep 02 10:25:47 BRT 2021,Thu Sep 02 10:25:48 BRT 2021
0,1891,Thu Sep 02 10:25:48 BRT 2021,Thu Sep 02 10:25:50 BRT 2021
0,2524,Thu Sep 02 10:25:50 BRT 2021,Thu Sep 02 10:25:52 BRT 2021
1,4443,Thu Sep 02 10:25:52 BRT 2021,Thu Sep 02 10:25:57 BRT 2021
0,2370,Thu Sep 02 10:25:57 BRT 2021,Thu Sep 02 10:25:59 BRT 2021
0,1540,Thu Sep 02 10:25:59 BRT 2021,Thu Sep 02 10:26:01 BRT 2021
1,4196,Thu Sep 02 10:26:01 BRT 2021,Thu Sep 02 10:26:05 BRT 2021
1,3888,Thu Sep 02 10:26:05 BRT 2021,Thu Sep 02 10:26:09 BRT 2021
0,2971,Thu Sep 02 10:26:09 BRT 2021,Thu Sep 02 10:26:12 BRT 2021
1,3521,Thu Sep 02 10:26:12 BRT 2021,Thu Sep 02 10:26:15 BRT 2021
0,1854,Thu Sep 02 10:26:15 BRT 2021,Thu Sep 02 10:26:17 BRT 2021
0,1617,Thu Sep 02 10:26:17 BRT 2021,Thu Sep 02 10:26:19 BRT 2021
0,1760,Thu Sep 02 10:26:19 BRT 2021,Thu Sep 02 10:26:21 BRT 2021
0,1572,Thu Sep 02 10:26:21 BRT 2021,Thu Sep 02 10:26:22 BRT 2021
0,1605,Thu Sep 02 10:26:22 BRT 2021,Thu Sep 02 10:26:24 BRT 2021
0,1227,Thu Sep 02 10:26:24 BRT 2021,Thu Sep 02 10:26:25 BRT 2021
0,2057,Thu Sep 02 10:26:25 BRT 2021,Thu Sep 02 10:26:27 BRT 2021
0,1793,Thu Sep 02 10:26:27 BRT 2021,Thu Sep 02 10:26:29 BRT 2021
0,3810,Thu Sep 02 10:26:29 BRT 2021,Thu Sep 02 10:26:33 BRT 2021
0,2311,Thu Sep 02 10:26:33 BRT 2021,Thu Sep 02 10:26:35 BRT 2021
0,1765,Thu Sep 02 10:26:35 BRT 2021,Thu Sep 02 10:26:37 BRT 2021
0,1852,Thu Sep 02 10:26:37 BRT 2021,Thu Sep 02 10:26:39 BRT 2021
0,1398,Thu Sep 02 10:26:39 BRT 2021,Thu Sep 02 10:26:40 BRT 2021
1,3299,Thu Sep 02 10:26:40 BRT 2021,Thu Sep 02 10:26:43 BRT 2021
