#result,duration(ms),initial_time,final_time
0,2214,Wed Sep 01 23:38:13 BRT 2021,Wed Sep 01 23:38:15 BRT 2021
0,2405,Wed Sep 01 23:38:15 BRT 2021,Wed Sep 01 23:38:17 BRT 2021
0,990,Wed Sep 01 23:38:17 BRT 2021,Wed Sep 01 23:38:18 BRT 2021
0,1523,Wed Sep 01 23:38:18 BRT 2021,Wed Sep 01 23:38:20 BRT 2021
0,1024,Wed Sep 01 23:38:20 BRT 2021,Wed Sep 01 23:38:21 BRT 2021
0,1506,Wed Sep 01 23:38:21 BRT 2021,Wed Sep 01 23:38:22 BRT 2021
0,615,Wed Sep 01 23:38:22 BRT 2021,Wed Sep 01 23:38:23 BRT 2021
0,1260,Wed Sep 01 23:38:23 BRT 2021,Wed Sep 01 23:38:24 BRT 2021
0,1237,Wed Sep 01 23:38:24 BRT 2021,Wed Sep 01 23:38:25 BRT 2021
0,1086,Wed Sep 01 23:38:25 BRT 2021,Wed Sep 01 23:38:26 BRT 2021
1,1200,Wed Sep 01 23:38:26 BRT 2021,Wed Sep 01 23:38:28 BRT 2021
0,1238,Wed Sep 01 23:38:28 BRT 2021,Wed Sep 01 23:38:29 BRT 2021
0,494,Wed Sep 01 23:38:29 BRT 2021,Wed Sep 01 23:38:29 BRT 2021
0,1082,Wed Sep 01 23:38:29 BRT 2021,Wed Sep 01 23:38:31 BRT 2021
0,670,Wed Sep 01 23:38:31 BRT 2021,Wed Sep 01 23:38:31 BRT 2021
0,1071,Wed Sep 01 23:38:31 BRT 2021,Wed Sep 01 23:38:32 BRT 2021
1,1173,Wed Sep 01 23:38:32 BRT 2021,Wed Sep 01 23:38:33 BRT 2021
1,1217,Wed Sep 01 23:38:33 BRT 2021,Wed Sep 01 23:38:35 BRT 2021
0,1492,Wed Sep 01 23:38:35 BRT 2021,Wed Sep 01 23:38:36 BRT 2021
0,490,Wed Sep 01 23:38:36 BRT 2021,Wed Sep 01 23:38:37 BRT 2021
1,1123,Wed Sep 01 23:38:37 BRT 2021,Wed Sep 01 23:38:38 BRT 2021
1,1154,Wed Sep 01 23:38:38 BRT 2021,Wed Sep 01 23:38:39 BRT 2021
0,1033,Wed Sep 01 23:38:39 BRT 2021,Wed Sep 01 23:38:40 BRT 2021
0,1010,Wed Sep 01 23:38:40 BRT 2021,Wed Sep 01 23:38:41 BRT 2021
0,604,Wed Sep 01 23:38:41 BRT 2021,Wed Sep 01 23:38:42 BRT 2021
1,1165,Wed Sep 01 23:38:42 BRT 2021,Wed Sep 01 23:38:43 BRT 2021
0,489,Wed Sep 01 23:38:43 BRT 2021,Wed Sep 01 23:38:43 BRT 2021
1,1520,Wed Sep 01 23:38:43 BRT 2021,Wed Sep 01 23:38:45 BRT 2021
1,1081,Wed Sep 01 23:38:45 BRT 2021,Wed Sep 01 23:38:46 BRT 2021
