#result,duration(ms),initial_time,final_time
0,2343,Thu Sep 02 03:55:02 BRT 2021,Thu Sep 02 03:55:04 BRT 2021
0,2815,Thu Sep 02 03:55:04 BRT 2021,Thu Sep 02 03:55:07 BRT 2021
0,1356,Thu Sep 02 03:55:07 BRT 2021,Thu Sep 02 03:55:09 BRT 2021
0,1217,Thu Sep 02 03:55:09 BRT 2021,Thu Sep 02 03:55:10 BRT 2021
0,953,Thu Sep 02 03:55:10 BRT 2021,Thu Sep 02 03:55:11 BRT 2021
0,2439,Thu Sep 02 03:55:11 BRT 2021,Thu Sep 02 03:55:13 BRT 2021
0,1490,Thu Sep 02 03:55:13 BRT 2021,Thu Sep 02 03:55:15 BRT 2021
0,794,Thu Sep 02 03:55:15 BRT 2021,Thu Sep 02 03:55:15 BRT 2021
0,915,Thu Sep 02 03:55:15 BRT 2021,Thu Sep 02 03:55:16 BRT 2021
0,686,Thu Sep 02 03:55:16 BRT 2021,Thu Sep 02 03:55:17 BRT 2021
0,559,Thu Sep 02 03:55:17 BRT 2021,Thu Sep 02 03:55:18 BRT 2021
0,848,Thu Sep 02 03:55:18 BRT 2021,Thu Sep 02 03:55:18 BRT 2021
0,625,Thu Sep 02 03:55:18 BRT 2021,Thu Sep 02 03:55:19 BRT 2021
1,1511,Thu Sep 02 03:55:19 BRT 2021,Thu Sep 02 03:55:21 BRT 2021
0,995,Thu Sep 02 03:55:21 BRT 2021,Thu Sep 02 03:55:22 BRT 2021
1,1248,Thu Sep 02 03:55:22 BRT 2021,Thu Sep 02 03:55:23 BRT 2021
0,1076,Thu Sep 02 03:55:23 BRT 2021,Thu Sep 02 03:55:24 BRT 2021
0,747,Thu Sep 02 03:55:24 BRT 2021,Thu Sep 02 03:55:25 BRT 2021
0,862,Thu Sep 02 03:55:25 BRT 2021,Thu Sep 02 03:55:26 BRT 2021
1,1656,Thu Sep 02 03:55:26 BRT 2021,Thu Sep 02 03:55:27 BRT 2021
0,758,Thu Sep 02 03:55:27 BRT 2021,Thu Sep 02 03:55:28 BRT 2021
0,464,Thu Sep 02 03:55:28 BRT 2021,Thu Sep 02 03:55:28 BRT 2021
0,922,Thu Sep 02 03:55:28 BRT 2021,Thu Sep 02 03:55:29 BRT 2021
0,1059,Thu Sep 02 03:55:29 BRT 2021,Thu Sep 02 03:55:30 BRT 2021
1,1372,Thu Sep 02 03:55:30 BRT 2021,Thu Sep 02 03:55:32 BRT 2021
0,804,Thu Sep 02 03:55:32 BRT 2021,Thu Sep 02 03:55:33 BRT 2021
0,902,Thu Sep 02 03:55:33 BRT 2021,Thu Sep 02 03:55:33 BRT 2021
0,877,Thu Sep 02 03:55:33 BRT 2021,Thu Sep 02 03:55:34 BRT 2021
0,973,Thu Sep 02 03:55:34 BRT 2021,Thu Sep 02 03:55:35 BRT 2021
0,550,Thu Sep 02 03:55:35 BRT 2021,Thu Sep 02 03:55:36 BRT 2021
0,778,Thu Sep 02 03:55:36 BRT 2021,Thu Sep 02 03:55:37 BRT 2021
0,561,Thu Sep 02 03:55:37 BRT 2021,Thu Sep 02 03:55:37 BRT 2021
0,1061,Thu Sep 02 03:55:37 BRT 2021,Thu Sep 02 03:55:38 BRT 2021
0,540,Thu Sep 02 03:55:38 BRT 2021,Thu Sep 02 03:55:39 BRT 2021
0,899,Thu Sep 02 03:55:39 BRT 2021,Thu Sep 02 03:55:40 BRT 2021
0,541,Thu Sep 02 03:55:40 BRT 2021,Thu Sep 02 03:55:40 BRT 2021
0,464,Thu Sep 02 03:55:40 BRT 2021,Thu Sep 02 03:55:41 BRT 2021
0,558,Thu Sep 02 03:55:41 BRT 2021,Thu Sep 02 03:55:41 BRT 2021
0,604,Thu Sep 02 03:55:41 BRT 2021,Thu Sep 02 03:55:42 BRT 2021
0,536,Thu Sep 02 03:55:42 BRT 2021,Thu Sep 02 03:55:42 BRT 2021
0,550,Thu Sep 02 03:55:42 BRT 2021,Thu Sep 02 03:55:43 BRT 2021
0,504,Thu Sep 02 03:55:43 BRT 2021,Thu Sep 02 03:55:43 BRT 2021
0,781,Thu Sep 02 03:55:43 BRT 2021,Thu Sep 02 03:55:44 BRT 2021
0,534,Thu Sep 02 03:55:44 BRT 2021,Thu Sep 02 03:55:45 BRT 2021
0,453,Thu Sep 02 03:55:45 BRT 2021,Thu Sep 02 03:55:45 BRT 2021
0,536,Thu Sep 02 03:55:45 BRT 2021,Thu Sep 02 03:55:46 BRT 2021
0,1325,Thu Sep 02 03:55:46 BRT 2021,Thu Sep 02 03:55:47 BRT 2021
0,453,Thu Sep 02 03:55:47 BRT 2021,Thu Sep 02 03:55:48 BRT 2021
0,1420,Thu Sep 02 03:55:48 BRT 2021,Thu Sep 02 03:55:49 BRT 2021
0,726,Thu Sep 02 03:55:49 BRT 2021,Thu Sep 02 03:55:50 BRT 2021
0,516,Thu Sep 02 03:55:50 BRT 2021,Thu Sep 02 03:55:50 BRT 2021
1,1172,Thu Sep 02 03:55:50 BRT 2021,Thu Sep 02 03:55:51 BRT 2021
1,1192,Thu Sep 02 03:55:51 BRT 2021,Thu Sep 02 03:55:53 BRT 2021
0,706,Thu Sep 02 03:55:53 BRT 2021,Thu Sep 02 03:55:53 BRT 2021
1,1207,Thu Sep 02 03:55:53 BRT 2021,Thu Sep 02 03:55:54 BRT 2021
1,1174,Thu Sep 02 03:55:54 BRT 2021,Thu Sep 02 03:55:56 BRT 2021
0,592,Thu Sep 02 03:55:56 BRT 2021,Thu Sep 02 03:55:56 BRT 2021
