#result,duration(ms),initial_time,final_time
0,3184,Thu Sep 02 02:52:38 BRT 2021,Thu Sep 02 02:52:42 BRT 2021
1,3248,Thu Sep 02 02:52:42 BRT 2021,Thu Sep 02 02:52:45 BRT 2021
0,3049,Thu Sep 02 02:52:45 BRT 2021,Thu Sep 02 02:52:48 BRT 2021
0,1660,Thu Sep 02 02:52:48 BRT 2021,Thu Sep 02 02:52:50 BRT 2021
0,865,Thu Sep 02 02:52:50 BRT 2021,Thu Sep 02 02:52:50 BRT 2021
0,1415,Thu Sep 02 02:52:50 BRT 2021,Thu Sep 02 02:52:52 BRT 2021
0,1450,Thu Sep 02 02:52:52 BRT 2021,Thu Sep 02 02:52:53 BRT 2021
0,853,Thu Sep 02 02:52:53 BRT 2021,Thu Sep 02 02:52:54 BRT 2021
1,1298,Thu Sep 02 02:52:54 BRT 2021,Thu Sep 02 02:52:55 BRT 2021
0,917,Thu Sep 02 02:52:55 BRT 2021,Thu Sep 02 02:52:56 BRT 2021
0,798,Thu Sep 02 02:52:56 BRT 2021,Thu Sep 02 02:52:57 BRT 2021
0,1007,Thu Sep 02 02:52:57 BRT 2021,Thu Sep 02 02:52:58 BRT 2021
0,1453,Thu Sep 02 02:52:58 BRT 2021,Thu Sep 02 02:53:00 BRT 2021
0,1097,Thu Sep 02 02:53:00 BRT 2021,Thu Sep 02 02:53:01 BRT 2021
1,1585,Thu Sep 02 02:53:01 BRT 2021,Thu Sep 02 02:53:02 BRT 2021
0,1170,Thu Sep 02 02:53:02 BRT 2021,Thu Sep 02 02:53:03 BRT 2021
1,1531,Thu Sep 02 02:53:03 BRT 2021,Thu Sep 02 02:53:05 BRT 2021
0,781,Thu Sep 02 02:53:05 BRT 2021,Thu Sep 02 02:53:06 BRT 2021
1,2099,Thu Sep 02 02:53:06 BRT 2021,Thu Sep 02 02:53:08 BRT 2021
0,1435,Thu Sep 02 02:53:08 BRT 2021,Thu Sep 02 02:53:09 BRT 2021
1,1631,Thu Sep 02 02:53:09 BRT 2021,Thu Sep 02 02:53:11 BRT 2021
0,483,Thu Sep 02 02:53:11 BRT 2021,Thu Sep 02 02:53:11 BRT 2021
0,1113,Thu Sep 02 02:53:11 BRT 2021,Thu Sep 02 02:53:13 BRT 2021
0,728,Thu Sep 02 02:53:13 BRT 2021,Thu Sep 02 02:53:13 BRT 2021
0,1038,Thu Sep 02 02:53:13 BRT 2021,Thu Sep 02 02:53:14 BRT 2021
0,1249,Thu Sep 02 02:53:14 BRT 2021,Thu Sep 02 02:53:16 BRT 2021
0,1092,Thu Sep 02 02:53:16 BRT 2021,Thu Sep 02 02:53:17 BRT 2021
0,1087,Thu Sep 02 02:53:17 BRT 2021,Thu Sep 02 02:53:18 BRT 2021
1,961,Thu Sep 02 02:53:18 BRT 2021,Thu Sep 02 02:53:19 BRT 2021
0,1068,Thu Sep 02 02:53:19 BRT 2021,Thu Sep 02 02:53:20 BRT 2021
0,570,Thu Sep 02 02:53:20 BRT 2021,Thu Sep 02 02:53:20 BRT 2021
0,1332,Thu Sep 02 02:53:20 BRT 2021,Thu Sep 02 02:53:22 BRT 2021
1,2203,Thu Sep 02 02:53:22 BRT 2021,Thu Sep 02 02:53:24 BRT 2021
0,1074,Thu Sep 02 02:53:24 BRT 2021,Thu Sep 02 02:53:25 BRT 2021
0,608,Thu Sep 02 02:53:25 BRT 2021,Thu Sep 02 02:53:26 BRT 2021
1,998,Thu Sep 02 02:53:26 BRT 2021,Thu Sep 02 02:53:27 BRT 2021
0,792,Thu Sep 02 02:53:27 BRT 2021,Thu Sep 02 02:53:27 BRT 2021
0,1171,Thu Sep 02 02:53:27 BRT 2021,Thu Sep 02 02:53:28 BRT 2021
1,608,Thu Sep 02 02:53:28 BRT 2021,Thu Sep 02 02:53:29 BRT 2021
0,506,Thu Sep 02 02:53:29 BRT 2021,Thu Sep 02 02:53:30 BRT 2021
1,1082,Thu Sep 02 02:53:30 BRT 2021,Thu Sep 02 02:53:31 BRT 2021
0,1064,Thu Sep 02 02:53:31 BRT 2021,Thu Sep 02 02:53:32 BRT 2021
0,689,Thu Sep 02 02:53:32 BRT 2021,Thu Sep 02 02:53:32 BRT 2021
0,1223,Thu Sep 02 02:53:32 BRT 2021,Thu Sep 02 02:53:34 BRT 2021
1,1154,Thu Sep 02 02:53:34 BRT 2021,Thu Sep 02 02:53:35 BRT 2021
1,2201,Thu Sep 02 02:53:35 BRT 2021,Thu Sep 02 02:53:37 BRT 2021
0,545,Thu Sep 02 02:53:37 BRT 2021,Thu Sep 02 02:53:38 BRT 2021
0,958,Thu Sep 02 02:53:38 BRT 2021,Thu Sep 02 02:53:39 BRT 2021
0,1364,Thu Sep 02 02:53:39 BRT 2021,Thu Sep 02 02:53:40 BRT 2021
-1,2165,Thu Sep 02 02:53:40 BRT 2021,Thu Sep 02 02:53:42 BRT 2021
0,1568,Thu Sep 02 02:53:42 BRT 2021,Thu Sep 02 02:53:44 BRT 2021
1,2423,Thu Sep 02 02:53:44 BRT 2021,Thu Sep 02 02:53:46 BRT 2021
0,804,Thu Sep 02 02:53:46 BRT 2021,Thu Sep 02 02:53:47 BRT 2021
0,770,Thu Sep 02 02:53:47 BRT 2021,Thu Sep 02 02:53:48 BRT 2021
1,997,Thu Sep 02 02:53:48 BRT 2021,Thu Sep 02 02:53:49 BRT 2021
1,1415,Thu Sep 02 02:53:49 BRT 2021,Thu Sep 02 02:53:50 BRT 2021
0,1040,Thu Sep 02 02:53:50 BRT 2021,Thu Sep 02 02:53:51 BRT 2021
0,1987,Thu Sep 02 02:53:51 BRT 2021,Thu Sep 02 02:53:53 BRT 2021
0,1254,Thu Sep 02 02:53:53 BRT 2021,Thu Sep 02 02:53:54 BRT 2021
0,808,Thu Sep 02 02:53:54 BRT 2021,Thu Sep 02 02:53:55 BRT 2021
0,726,Thu Sep 02 02:53:55 BRT 2021,Thu Sep 02 02:53:56 BRT 2021
0,1069,Thu Sep 02 02:53:56 BRT 2021,Thu Sep 02 02:53:57 BRT 2021
0,1037,Thu Sep 02 02:53:57 BRT 2021,Thu Sep 02 02:53:58 BRT 2021
0,1113,Thu Sep 02 02:53:58 BRT 2021,Thu Sep 02 02:53:59 BRT 2021
0,556,Thu Sep 02 02:53:59 BRT 2021,Thu Sep 02 02:54:00 BRT 2021
0,1469,Thu Sep 02 02:54:00 BRT 2021,Thu Sep 02 02:54:01 BRT 2021
0,1129,Thu Sep 02 02:54:01 BRT 2021,Thu Sep 02 02:54:02 BRT 2021
