#result,duration(ms),initial_time,final_time
0,2541,Thu Sep 02 06:17:54 BRT 2021,Thu Sep 02 06:17:57 BRT 2021
0,2060,Thu Sep 02 06:17:57 BRT 2021,Thu Sep 02 06:17:59 BRT 2021
0,1081,Thu Sep 02 06:17:59 BRT 2021,Thu Sep 02 06:18:00 BRT 2021
0,1168,Thu Sep 02 06:18:00 BRT 2021,Thu Sep 02 06:18:01 BRT 2021
1,1782,Thu Sep 02 06:18:01 BRT 2021,Thu Sep 02 06:18:03 BRT 2021
1,1188,Thu Sep 02 06:18:03 BRT 2021,Thu Sep 02 06:18:04 BRT 2021
0,791,Thu Sep 02 06:18:04 BRT 2021,Thu Sep 02 06:18:05 BRT 2021
0,1948,Thu Sep 02 06:18:05 BRT 2021,Thu Sep 02 06:18:07 BRT 2021
0,967,Thu Sep 02 06:18:07 BRT 2021,Thu Sep 02 06:18:08 BRT 2021
0,597,Thu Sep 02 06:18:08 BRT 2021,Thu Sep 02 06:18:08 BRT 2021
0,605,Thu Sep 02 06:18:08 BRT 2021,Thu Sep 02 06:18:09 BRT 2021
0,741,Thu Sep 02 06:18:09 BRT 2021,Thu Sep 02 06:18:10 BRT 2021
0,603,Thu Sep 02 06:18:10 BRT 2021,Thu Sep 02 06:18:10 BRT 2021
0,489,Thu Sep 02 06:18:10 BRT 2021,Thu Sep 02 06:18:11 BRT 2021
0,582,Thu Sep 02 06:18:11 BRT 2021,Thu Sep 02 06:18:11 BRT 2021
0,1184,Thu Sep 02 06:18:11 BRT 2021,Thu Sep 02 06:18:12 BRT 2021
0,750,Thu Sep 02 06:18:12 BRT 2021,Thu Sep 02 06:18:13 BRT 2021
0,1058,Thu Sep 02 06:18:13 BRT 2021,Thu Sep 02 06:18:14 BRT 2021
0,580,Thu Sep 02 06:18:14 BRT 2021,Thu Sep 02 06:18:15 BRT 2021
0,670,Thu Sep 02 06:18:15 BRT 2021,Thu Sep 02 06:18:16 BRT 2021
0,611,Thu Sep 02 06:18:16 BRT 2021,Thu Sep 02 06:18:16 BRT 2021
0,625,Thu Sep 02 06:18:16 BRT 2021,Thu Sep 02 06:18:17 BRT 2021
0,604,Thu Sep 02 06:18:17 BRT 2021,Thu Sep 02 06:18:17 BRT 2021
0,513,Thu Sep 02 06:18:17 BRT 2021,Thu Sep 02 06:18:18 BRT 2021
0,732,Thu Sep 02 06:18:18 BRT 2021,Thu Sep 02 06:18:19 BRT 2021
0,553,Thu Sep 02 06:18:19 BRT 2021,Thu Sep 02 06:18:19 BRT 2021
0,550,Thu Sep 02 06:18:19 BRT 2021,Thu Sep 02 06:18:20 BRT 2021
0,741,Thu Sep 02 06:18:20 BRT 2021,Thu Sep 02 06:18:20 BRT 2021
0,1129,Thu Sep 02 06:18:20 BRT 2021,Thu Sep 02 06:18:22 BRT 2021
0,565,Thu Sep 02 06:18:22 BRT 2021,Thu Sep 02 06:18:22 BRT 2021
1,1122,Thu Sep 02 06:18:22 BRT 2021,Thu Sep 02 06:18:23 BRT 2021
0,929,Thu Sep 02 06:18:23 BRT 2021,Thu Sep 02 06:18:24 BRT 2021
1,966,Thu Sep 02 06:18:24 BRT 2021,Thu Sep 02 06:18:25 BRT 2021
0,908,Thu Sep 02 06:18:25 BRT 2021,Thu Sep 02 06:18:26 BRT 2021
0,502,Thu Sep 02 06:18:26 BRT 2021,Thu Sep 02 06:18:27 BRT 2021
0,513,Thu Sep 02 06:18:27 BRT 2021,Thu Sep 02 06:18:27 BRT 2021
0,583,Thu Sep 02 06:18:27 BRT 2021,Thu Sep 02 06:18:28 BRT 2021
0,591,Thu Sep 02 06:18:28 BRT 2021,Thu Sep 02 06:18:28 BRT 2021
1,1063,Thu Sep 02 06:18:28 BRT 2021,Thu Sep 02 06:18:29 BRT 2021
0,1426,Thu Sep 02 06:18:29 BRT 2021,Thu Sep 02 06:18:31 BRT 2021
0,679,Thu Sep 02 06:18:31 BRT 2021,Thu Sep 02 06:18:31 BRT 2021
1,1388,Thu Sep 02 06:18:31 BRT 2021,Thu Sep 02 06:18:33 BRT 2021
0,1620,Thu Sep 02 06:18:33 BRT 2021,Thu Sep 02 06:18:34 BRT 2021
0,1242,Thu Sep 02 06:18:34 BRT 2021,Thu Sep 02 06:18:36 BRT 2021
0,1487,Thu Sep 02 06:18:36 BRT 2021,Thu Sep 02 06:18:37 BRT 2021
0,1260,Thu Sep 02 06:18:37 BRT 2021,Thu Sep 02 06:18:38 BRT 2021
0,666,Thu Sep 02 06:18:38 BRT 2021,Thu Sep 02 06:18:39 BRT 2021
0,1330,Thu Sep 02 06:18:39 BRT 2021,Thu Sep 02 06:18:40 BRT 2021
0,824,Thu Sep 02 06:18:40 BRT 2021,Thu Sep 02 06:18:41 BRT 2021
0,655,Thu Sep 02 06:18:41 BRT 2021,Thu Sep 02 06:18:42 BRT 2021
0,710,Thu Sep 02 06:18:42 BRT 2021,Thu Sep 02 06:18:43 BRT 2021
0,641,Thu Sep 02 06:18:43 BRT 2021,Thu Sep 02 06:18:43 BRT 2021
0,728,Thu Sep 02 06:18:43 BRT 2021,Thu Sep 02 06:18:44 BRT 2021
0,1581,Thu Sep 02 06:18:44 BRT 2021,Thu Sep 02 06:18:46 BRT 2021
0,776,Thu Sep 02 06:18:46 BRT 2021,Thu Sep 02 06:18:46 BRT 2021
0,1149,Thu Sep 02 06:18:46 BRT 2021,Thu Sep 02 06:18:48 BRT 2021
0,821,Thu Sep 02 06:18:48 BRT 2021,Thu Sep 02 06:18:48 BRT 2021
0,731,Thu Sep 02 06:18:48 BRT 2021,Thu Sep 02 06:18:49 BRT 2021
