#result,duration(ms),initial_time,final_time
0,3933,Thu Sep 02 08:39:53 BRT 2021,Thu Sep 02 08:39:57 BRT 2021
0,2619,Thu Sep 02 08:39:57 BRT 2021,Thu Sep 02 08:40:00 BRT 2021
0,1361,Thu Sep 02 08:40:00 BRT 2021,Thu Sep 02 08:40:01 BRT 2021
0,2888,Thu Sep 02 08:40:01 BRT 2021,Thu Sep 02 08:40:04 BRT 2021
0,1796,Thu Sep 02 08:40:04 BRT 2021,Thu Sep 02 08:40:06 BRT 2021
0,2402,Thu Sep 02 08:40:06 BRT 2021,Thu Sep 02 08:40:08 BRT 2021
0,1399,Thu Sep 02 08:40:08 BRT 2021,Thu Sep 02 08:40:10 BRT 2021
1,2324,Thu Sep 02 08:40:10 BRT 2021,Thu Sep 02 08:40:12 BRT 2021
0,2884,Thu Sep 02 08:40:12 BRT 2021,Thu Sep 02 08:40:15 BRT 2021
0,1373,Thu Sep 02 08:40:15 BRT 2021,Thu Sep 02 08:40:16 BRT 2021
0,3111,Thu Sep 02 08:40:16 BRT 2021,Thu Sep 02 08:40:20 BRT 2021
0,4586,Thu Sep 02 08:40:20 BRT 2021,Thu Sep 02 08:40:24 BRT 2021
1,2671,Thu Sep 02 08:40:24 BRT 2021,Thu Sep 02 08:40:27 BRT 2021
0,1276,Thu Sep 02 08:40:27 BRT 2021,Thu Sep 02 08:40:28 BRT 2021
0,1713,Thu Sep 02 08:40:28 BRT 2021,Thu Sep 02 08:40:30 BRT 2021
0,1259,Thu Sep 02 08:40:30 BRT 2021,Thu Sep 02 08:40:31 BRT 2021
0,4215,Thu Sep 02 08:40:31 BRT 2021,Thu Sep 02 08:40:35 BRT 2021
-1,5288,Thu Sep 02 08:40:35 BRT 2021,Thu Sep 02 08:40:41 BRT 2021
1,2909,Thu Sep 02 08:40:41 BRT 2021,Thu Sep 02 08:40:44 BRT 2021
0,1414,Thu Sep 02 08:40:44 BRT 2021,Thu Sep 02 08:40:45 BRT 2021
0,1411,Thu Sep 02 08:40:45 BRT 2021,Thu Sep 02 08:40:46 BRT 2021
1,3945,Thu Sep 02 08:40:46 BRT 2021,Thu Sep 02 08:40:50 BRT 2021
0,1610,Thu Sep 02 08:40:50 BRT 2021,Thu Sep 02 08:40:52 BRT 2021
0,1544,Thu Sep 02 08:40:52 BRT 2021,Thu Sep 02 08:40:53 BRT 2021
1,3035,Thu Sep 02 08:40:53 BRT 2021,Thu Sep 02 08:40:56 BRT 2021
0,1640,Thu Sep 02 08:40:56 BRT 2021,Thu Sep 02 08:40:58 BRT 2021
0,1561,Thu Sep 02 08:40:58 BRT 2021,Thu Sep 02 08:41:00 BRT 2021
1,4003,Thu Sep 02 08:41:00 BRT 2021,Thu Sep 02 08:41:04 BRT 2021
0,1347,Thu Sep 02 08:41:04 BRT 2021,Thu Sep 02 08:41:05 BRT 2021
0,3915,Thu Sep 02 08:41:05 BRT 2021,Thu Sep 02 08:41:09 BRT 2021
0,3458,Thu Sep 02 08:41:09 BRT 2021,Thu Sep 02 08:41:12 BRT 2021
0,1622,Thu Sep 02 08:41:12 BRT 2021,Thu Sep 02 08:41:14 BRT 2021
0,1848,Thu Sep 02 08:41:14 BRT 2021,Thu Sep 02 08:41:16 BRT 2021
0,1404,Thu Sep 02 08:41:16 BRT 2021,Thu Sep 02 08:41:17 BRT 2021
0,3246,Thu Sep 02 08:41:17 BRT 2021,Thu Sep 02 08:41:21 BRT 2021
0,2305,Thu Sep 02 08:41:21 BRT 2021,Thu Sep 02 08:41:23 BRT 2021
1,3543,Thu Sep 02 08:41:23 BRT 2021,Thu Sep 02 08:41:26 BRT 2021
0,1966,Thu Sep 02 08:41:26 BRT 2021,Thu Sep 02 08:41:28 BRT 2021
0,1879,Thu Sep 02 08:41:28 BRT 2021,Thu Sep 02 08:41:30 BRT 2021
0,1466,Thu Sep 02 08:41:30 BRT 2021,Thu Sep 02 08:41:32 BRT 2021
1,4636,Thu Sep 02 08:41:32 BRT 2021,Thu Sep 02 08:41:36 BRT 2021
0,2089,Thu Sep 02 08:41:36 BRT 2021,Thu Sep 02 08:41:38 BRT 2021
0,1985,Thu Sep 02 08:41:38 BRT 2021,Thu Sep 02 08:41:40 BRT 2021
0,1119,Thu Sep 02 08:41:40 BRT 2021,Thu Sep 02 08:41:42 BRT 2021
0,1422,Thu Sep 02 08:41:42 BRT 2021,Thu Sep 02 08:41:43 BRT 2021
0,1124,Thu Sep 02 08:41:43 BRT 2021,Thu Sep 02 08:41:44 BRT 2021
0,1163,Thu Sep 02 08:41:44 BRT 2021,Thu Sep 02 08:41:45 BRT 2021
1,2331,Thu Sep 02 08:41:45 BRT 2021,Thu Sep 02 08:41:48 BRT 2021
0,1778,Thu Sep 02 08:41:48 BRT 2021,Thu Sep 02 08:41:49 BRT 2021
1,3470,Thu Sep 02 08:41:49 BRT 2021,Thu Sep 02 08:41:53 BRT 2021
0,2045,Thu Sep 02 08:41:53 BRT 2021,Thu Sep 02 08:41:55 BRT 2021
0,2180,Thu Sep 02 08:41:55 BRT 2021,Thu Sep 02 08:41:57 BRT 2021
0,1674,Thu Sep 02 08:41:57 BRT 2021,Thu Sep 02 08:41:59 BRT 2021
0,2378,Thu Sep 02 08:41:59 BRT 2021,Thu Sep 02 08:42:01 BRT 2021
0,1482,Thu Sep 02 08:42:01 BRT 2021,Thu Sep 02 08:42:03 BRT 2021
0,2241,Thu Sep 02 08:42:03 BRT 2021,Thu Sep 02 08:42:05 BRT 2021
0,2550,Thu Sep 02 08:42:05 BRT 2021,Thu Sep 02 08:42:07 BRT 2021
0,2057,Thu Sep 02 08:42:07 BRT 2021,Thu Sep 02 08:42:09 BRT 2021
0,1454,Thu Sep 02 08:42:09 BRT 2021,Thu Sep 02 08:42:11 BRT 2021
0,1715,Thu Sep 02 08:42:11 BRT 2021,Thu Sep 02 08:42:13 BRT 2021
1,4017,Thu Sep 02 08:42:13 BRT 2021,Thu Sep 02 08:42:17 BRT 2021
0,1076,Thu Sep 02 08:42:17 BRT 2021,Thu Sep 02 08:42:18 BRT 2021
0,1126,Thu Sep 02 08:42:18 BRT 2021,Thu Sep 02 08:42:19 BRT 2021
0,1604,Thu Sep 02 08:42:19 BRT 2021,Thu Sep 02 08:42:20 BRT 2021
0,1359,Thu Sep 02 08:42:20 BRT 2021,Thu Sep 02 08:42:22 BRT 2021
0,1113,Thu Sep 02 08:42:22 BRT 2021,Thu Sep 02 08:42:23 BRT 2021
1,2292,Thu Sep 02 08:42:23 BRT 2021,Thu Sep 02 08:42:25 BRT 2021
0,1131,Thu Sep 02 08:42:25 BRT 2021,Thu Sep 02 08:42:26 BRT 2021
0,2047,Thu Sep 02 08:42:26 BRT 2021,Thu Sep 02 08:42:28 BRT 2021
0,1408,Thu Sep 02 08:42:28 BRT 2021,Thu Sep 02 08:42:30 BRT 2021
0,1318,Thu Sep 02 08:42:30 BRT 2021,Thu Sep 02 08:42:31 BRT 2021
0,1109,Thu Sep 02 08:42:31 BRT 2021,Thu Sep 02 08:42:32 BRT 2021
0,1410,Thu Sep 02 08:42:32 BRT 2021,Thu Sep 02 08:42:34 BRT 2021
1,3554,Thu Sep 02 08:42:34 BRT 2021,Thu Sep 02 08:42:37 BRT 2021
0,1396,Thu Sep 02 08:42:37 BRT 2021,Thu Sep 02 08:42:39 BRT 2021
0,2357,Thu Sep 02 08:42:39 BRT 2021,Thu Sep 02 08:42:41 BRT 2021
0,1127,Thu Sep 02 08:42:41 BRT 2021,Thu Sep 02 08:42:42 BRT 2021
0,1115,Thu Sep 02 08:42:42 BRT 2021,Thu Sep 02 08:42:43 BRT 2021
1,2547,Thu Sep 02 08:42:43 BRT 2021,Thu Sep 02 08:42:46 BRT 2021
