#result,duration(ms),initial_time,final_time
0,5434,Thu Sep 02 02:52:38 BRT 2021,Thu Sep 02 02:52:44 BRT 2021
0,1275,Thu Sep 02 02:52:44 BRT 2021,Thu Sep 02 02:52:45 BRT 2021
0,1710,Thu Sep 02 02:52:45 BRT 2021,Thu Sep 02 02:52:47 BRT 2021
0,2333,Thu Sep 02 02:52:47 BRT 2021,Thu Sep 02 02:52:49 BRT 2021
0,1098,Thu Sep 02 02:52:49 BRT 2021,Thu Sep 02 02:52:50 BRT 2021
0,714,Thu Sep 02 02:52:50 BRT 2021,Thu Sep 02 02:52:51 BRT 2021
1,1046,Thu Sep 02 02:52:51 BRT 2021,Thu Sep 02 02:52:52 BRT 2021
0,676,Thu Sep 02 02:52:52 BRT 2021,Thu Sep 02 02:52:53 BRT 2021
1,1005,Thu Sep 02 02:52:53 BRT 2021,Thu Sep 02 02:52:54 BRT 2021
0,594,Thu Sep 02 02:52:54 BRT 2021,Thu Sep 02 02:52:54 BRT 2021
0,621,Thu Sep 02 02:52:54 BRT 2021,Thu Sep 02 02:52:55 BRT 2021
1,893,Thu Sep 02 02:52:55 BRT 2021,Thu Sep 02 02:52:56 BRT 2021
1,1097,Thu Sep 02 02:52:56 BRT 2021,Thu Sep 02 02:52:57 BRT 2021
0,1235,Thu Sep 02 02:52:57 BRT 2021,Thu Sep 02 02:52:58 BRT 2021
0,773,Thu Sep 02 02:52:58 BRT 2021,Thu Sep 02 02:52:59 BRT 2021
0,576,Thu Sep 02 02:52:59 BRT 2021,Thu Sep 02 02:52:59 BRT 2021
0,573,Thu Sep 02 02:52:59 BRT 2021,Thu Sep 02 02:53:00 BRT 2021
0,1038,Thu Sep 02 02:53:00 BRT 2021,Thu Sep 02 02:53:01 BRT 2021
0,595,Thu Sep 02 02:53:01 BRT 2021,Thu Sep 02 02:53:02 BRT 2021
1,853,Thu Sep 02 02:53:02 BRT 2021,Thu Sep 02 02:53:03 BRT 2021
0,512,Thu Sep 02 02:53:03 BRT 2021,Thu Sep 02 02:53:03 BRT 2021
1,1134,Thu Sep 02 02:53:03 BRT 2021,Thu Sep 02 02:53:04 BRT 2021
0,504,Thu Sep 02 02:53:04 BRT 2021,Thu Sep 02 02:53:05 BRT 2021
0,559,Thu Sep 02 02:53:05 BRT 2021,Thu Sep 02 02:53:05 BRT 2021
0,1986,Thu Sep 02 02:53:05 BRT 2021,Thu Sep 02 02:53:07 BRT 2021
0,721,Thu Sep 02 02:53:07 BRT 2021,Thu Sep 02 02:53:08 BRT 2021
0,734,Thu Sep 02 02:53:08 BRT 2021,Thu Sep 02 02:53:09 BRT 2021
0,508,Thu Sep 02 02:53:09 BRT 2021,Thu Sep 02 02:53:09 BRT 2021
0,629,Thu Sep 02 02:53:09 BRT 2021,Thu Sep 02 02:53:10 BRT 2021
0,760,Thu Sep 02 02:53:10 BRT 2021,Thu Sep 02 02:53:11 BRT 2021
0,818,Thu Sep 02 02:53:11 BRT 2021,Thu Sep 02 02:53:11 BRT 2021
0,1010,Thu Sep 02 02:53:11 BRT 2021,Thu Sep 02 02:53:12 BRT 2021
0,745,Thu Sep 02 02:53:12 BRT 2021,Thu Sep 02 02:53:13 BRT 2021
0,1286,Thu Sep 02 02:53:13 BRT 2021,Thu Sep 02 02:53:14 BRT 2021
0,864,Thu Sep 02 02:53:14 BRT 2021,Thu Sep 02 02:53:15 BRT 2021
1,876,Thu Sep 02 02:53:15 BRT 2021,Thu Sep 02 02:53:16 BRT 2021
0,552,Thu Sep 02 02:53:16 BRT 2021,Thu Sep 02 02:53:17 BRT 2021
0,665,Thu Sep 02 02:53:17 BRT 2021,Thu Sep 02 02:53:17 BRT 2021
0,614,Thu Sep 02 02:53:17 BRT 2021,Thu Sep 02 02:53:18 BRT 2021
0,548,Thu Sep 02 02:53:18 BRT 2021,Thu Sep 02 02:53:19 BRT 2021
0,678,Thu Sep 02 02:53:19 BRT 2021,Thu Sep 02 02:53:19 BRT 2021
