#result,duration(ms),initial_time,final_time
0,3997,Thu Sep 02 10:25:31 BRT 2021,Thu Sep 02 10:25:35 BRT 2021
0,3501,Thu Sep 02 10:25:35 BRT 2021,Thu Sep 02 10:25:39 BRT 2021
0,1968,Thu Sep 02 10:25:39 BRT 2021,Thu Sep 02 10:25:41 BRT 2021
0,1524,Thu Sep 02 10:25:41 BRT 2021,Thu Sep 02 10:25:42 BRT 2021
1,3694,Thu Sep 02 10:25:42 BRT 2021,Thu Sep 02 10:25:46 BRT 2021
1,4264,Thu Sep 02 10:25:46 BRT 2021,Thu Sep 02 10:25:50 BRT 2021
1,4676,Thu Sep 02 10:25:50 BRT 2021,Thu Sep 02 10:25:55 BRT 2021
0,1646,Thu Sep 02 10:25:55 BRT 2021,Thu Sep 02 10:25:57 BRT 2021
0,1295,Thu Sep 02 10:25:57 BRT 2021,Thu Sep 02 10:25:58 BRT 2021
1,2902,Thu Sep 02 10:25:58 BRT 2021,Thu Sep 02 10:26:01 BRT 2021
0,2783,Thu Sep 02 10:26:01 BRT 2021,Thu Sep 02 10:26:04 BRT 2021
0,3512,Thu Sep 02 10:26:04 BRT 2021,Thu Sep 02 10:26:07 BRT 2021
0,2964,Thu Sep 02 10:26:07 BRT 2021,Thu Sep 02 10:26:10 BRT 2021
0,3810,Thu Sep 02 10:26:10 BRT 2021,Thu Sep 02 10:26:14 BRT 2021
0,1903,Thu Sep 02 10:26:14 BRT 2021,Thu Sep 02 10:26:16 BRT 2021
0,1305,Thu Sep 02 10:26:16 BRT 2021,Thu Sep 02 10:26:17 BRT 2021
0,2942,Thu Sep 02 10:26:17 BRT 2021,Thu Sep 02 10:26:20 BRT 2021
0,3924,Thu Sep 02 10:26:20 BRT 2021,Thu Sep 02 10:26:24 BRT 2021
0,2333,Thu Sep 02 10:26:24 BRT 2021,Thu Sep 02 10:26:26 BRT 2021
0,1071,Thu Sep 02 10:26:26 BRT 2021,Thu Sep 02 10:26:27 BRT 2021
0,1282,Thu Sep 02 10:26:27 BRT 2021,Thu Sep 02 10:26:29 BRT 2021
0,2734,Thu Sep 02 10:26:29 BRT 2021,Thu Sep 02 10:26:31 BRT 2021
0,1265,Thu Sep 02 10:26:31 BRT 2021,Thu Sep 02 10:26:33 BRT 2021
0,1953,Thu Sep 02 10:26:33 BRT 2021,Thu Sep 02 10:26:35 BRT 2021
0,2637,Thu Sep 02 10:26:35 BRT 2021,Thu Sep 02 10:26:37 BRT 2021
1,3473,Thu Sep 02 10:26:37 BRT 2021,Thu Sep 02 10:26:41 BRT 2021
0,3366,Thu Sep 02 10:26:41 BRT 2021,Thu Sep 02 10:26:44 BRT 2021
0,1453,Thu Sep 02 10:26:44 BRT 2021,Thu Sep 02 10:26:46 BRT 2021
0,2210,Thu Sep 02 10:26:46 BRT 2021,Thu Sep 02 10:26:48 BRT 2021
1,3681,Thu Sep 02 10:26:48 BRT 2021,Thu Sep 02 10:26:51 BRT 2021
0,3703,Thu Sep 02 10:26:51 BRT 2021,Thu Sep 02 10:26:55 BRT 2021
0,1738,Thu Sep 02 10:26:55 BRT 2021,Thu Sep 02 10:26:57 BRT 2021
0,1280,Thu Sep 02 10:26:57 BRT 2021,Thu Sep 02 10:26:58 BRT 2021
1,2770,Thu Sep 02 10:26:58 BRT 2021,Thu Sep 02 10:27:01 BRT 2021
1,3917,Thu Sep 02 10:27:01 BRT 2021,Thu Sep 02 10:27:05 BRT 2021
0,1390,Thu Sep 02 10:27:05 BRT 2021,Thu Sep 02 10:27:06 BRT 2021
0,1764,Thu Sep 02 10:27:06 BRT 2021,Thu Sep 02 10:27:08 BRT 2021
0,2238,Thu Sep 02 10:27:08 BRT 2021,Thu Sep 02 10:27:10 BRT 2021
0,2664,Thu Sep 02 10:27:10 BRT 2021,Thu Sep 02 10:27:13 BRT 2021
0,4225,Thu Sep 02 10:27:13 BRT 2021,Thu Sep 02 10:27:17 BRT 2021
