#result,duration(ms),initial_time,final_time
0,4295,Thu Sep 02 10:25:31 BRT 2021,Thu Sep 02 10:25:36 BRT 2021
0,3051,Thu Sep 02 10:25:36 BRT 2021,Thu Sep 02 10:25:39 BRT 2021
0,1588,Thu Sep 02 10:25:39 BRT 2021,Thu Sep 02 10:25:40 BRT 2021
0,1818,Thu Sep 02 10:25:40 BRT 2021,Thu Sep 02 10:25:42 BRT 2021
0,1439,Thu Sep 02 10:25:42 BRT 2021,Thu Sep 02 10:25:44 BRT 2021
0,1998,Thu Sep 02 10:25:44 BRT 2021,Thu Sep 02 10:25:46 BRT 2021
0,1976,Thu Sep 02 10:25:46 BRT 2021,Thu Sep 02 10:25:47 BRT 2021
0,1296,Thu Sep 02 10:25:47 BRT 2021,Thu Sep 02 10:25:49 BRT 2021
1,4168,Thu Sep 02 10:25:49 BRT 2021,Thu Sep 02 10:25:53 BRT 2021
0,2916,Thu Sep 02 10:25:53 BRT 2021,Thu Sep 02 10:25:56 BRT 2021
0,1497,Thu Sep 02 10:25:56 BRT 2021,Thu Sep 02 10:25:57 BRT 2021
0,1599,Thu Sep 02 10:25:57 BRT 2021,Thu Sep 02 10:25:59 BRT 2021
0,1616,Thu Sep 02 10:25:59 BRT 2021,Thu Sep 02 10:26:01 BRT 2021
0,1308,Thu Sep 02 10:26:01 BRT 2021,Thu Sep 02 10:26:02 BRT 2021
0,2500,Thu Sep 02 10:26:02 BRT 2021,Thu Sep 02 10:26:04 BRT 2021
0,1650,Thu Sep 02 10:26:04 BRT 2021,Thu Sep 02 10:26:06 BRT 2021
0,2100,Thu Sep 02 10:26:06 BRT 2021,Thu Sep 02 10:26:08 BRT 2021
1,2217,Thu Sep 02 10:26:08 BRT 2021,Thu Sep 02 10:26:10 BRT 2021
0,1792,Thu Sep 02 10:26:10 BRT 2021,Thu Sep 02 10:26:12 BRT 2021
0,1757,Thu Sep 02 10:26:12 BRT 2021,Thu Sep 02 10:26:14 BRT 2021
0,1475,Thu Sep 02 10:26:14 BRT 2021,Thu Sep 02 10:26:15 BRT 2021
0,2878,Thu Sep 02 10:26:15 BRT 2021,Thu Sep 02 10:26:18 BRT 2021
0,2404,Thu Sep 02 10:26:18 BRT 2021,Thu Sep 02 10:26:21 BRT 2021
0,1985,Thu Sep 02 10:26:21 BRT 2021,Thu Sep 02 10:26:23 BRT 2021
0,1473,Thu Sep 02 10:26:23 BRT 2021,Thu Sep 02 10:26:24 BRT 2021
0,1549,Thu Sep 02 10:26:24 BRT 2021,Thu Sep 02 10:26:26 BRT 2021
0,1593,Thu Sep 02 10:26:26 BRT 2021,Thu Sep 02 10:26:27 BRT 2021
0,1568,Thu Sep 02 10:26:27 BRT 2021,Thu Sep 02 10:26:29 BRT 2021
0,2192,Thu Sep 02 10:26:29 BRT 2021,Thu Sep 02 10:26:31 BRT 2021
0,2857,Thu Sep 02 10:26:31 BRT 2021,Thu Sep 02 10:26:34 BRT 2021
0,1700,Thu Sep 02 10:26:34 BRT 2021,Thu Sep 02 10:26:36 BRT 2021
0,3365,Thu Sep 02 10:26:36 BRT 2021,Thu Sep 02 10:26:39 BRT 2021
1,2924,Thu Sep 02 10:26:39 BRT 2021,Thu Sep 02 10:26:42 BRT 2021
1,2342,Thu Sep 02 10:26:42 BRT 2021,Thu Sep 02 10:26:44 BRT 2021
0,1159,Thu Sep 02 10:26:44 BRT 2021,Thu Sep 02 10:26:45 BRT 2021
0,1194,Thu Sep 02 10:26:45 BRT 2021,Thu Sep 02 10:26:47 BRT 2021
0,1631,Thu Sep 02 10:26:47 BRT 2021,Thu Sep 02 10:26:48 BRT 2021
0,2076,Thu Sep 02 10:26:48 BRT 2021,Thu Sep 02 10:26:50 BRT 2021
1,2788,Thu Sep 02 10:26:50 BRT 2021,Thu Sep 02 10:26:53 BRT 2021
1,2354,Thu Sep 02 10:26:53 BRT 2021,Thu Sep 02 10:26:55 BRT 2021
0,1179,Thu Sep 02 10:26:55 BRT 2021,Thu Sep 02 10:26:57 BRT 2021
0,2028,Thu Sep 02 10:26:57 BRT 2021,Thu Sep 02 10:26:59 BRT 2021
1,2765,Thu Sep 02 10:26:59 BRT 2021,Thu Sep 02 10:27:01 BRT 2021
-1,4982,Thu Sep 02 10:27:01 BRT 2021,Thu Sep 02 10:27:06 BRT 2021
0,2176,Thu Sep 02 10:27:06 BRT 2021,Thu Sep 02 10:27:09 BRT 2021
0,1682,Thu Sep 02 10:27:09 BRT 2021,Thu Sep 02 10:27:10 BRT 2021
0,1456,Thu Sep 02 10:27:10 BRT 2021,Thu Sep 02 10:27:12 BRT 2021
0,1193,Thu Sep 02 10:27:12 BRT 2021,Thu Sep 02 10:27:13 BRT 2021
0,1205,Thu Sep 02 10:27:13 BRT 2021,Thu Sep 02 10:27:14 BRT 2021
0,2978,Thu Sep 02 10:27:14 BRT 2021,Thu Sep 02 10:27:17 BRT 2021
0,1256,Thu Sep 02 10:27:17 BRT 2021,Thu Sep 02 10:27:18 BRT 2021
0,1309,Thu Sep 02 10:27:18 BRT 2021,Thu Sep 02 10:27:20 BRT 2021
0,1535,Thu Sep 02 10:27:20 BRT 2021,Thu Sep 02 10:27:21 BRT 2021
0,1056,Thu Sep 02 10:27:21 BRT 2021,Thu Sep 02 10:27:22 BRT 2021
0,1609,Thu Sep 02 10:27:22 BRT 2021,Thu Sep 02 10:27:24 BRT 2021
0,2150,Thu Sep 02 10:27:24 BRT 2021,Thu Sep 02 10:27:26 BRT 2021
0,1309,Thu Sep 02 10:27:26 BRT 2021,Thu Sep 02 10:27:27 BRT 2021
0,1246,Thu Sep 02 10:27:27 BRT 2021,Thu Sep 02 10:27:29 BRT 2021
0,1638,Thu Sep 02 10:27:29 BRT 2021,Thu Sep 02 10:27:30 BRT 2021
0,1586,Thu Sep 02 10:27:30 BRT 2021,Thu Sep 02 10:27:32 BRT 2021
0,1561,Thu Sep 02 10:27:32 BRT 2021,Thu Sep 02 10:27:33 BRT 2021
0,1950,Thu Sep 02 10:27:33 BRT 2021,Thu Sep 02 10:27:35 BRT 2021
0,1350,Thu Sep 02 10:27:35 BRT 2021,Thu Sep 02 10:27:37 BRT 2021
0,2759,Thu Sep 02 10:27:37 BRT 2021,Thu Sep 02 10:27:39 BRT 2021
0,1626,Thu Sep 02 10:27:39 BRT 2021,Thu Sep 02 10:27:41 BRT 2021
0,1301,Thu Sep 02 10:27:41 BRT 2021,Thu Sep 02 10:27:42 BRT 2021
0,1393,Thu Sep 02 10:27:42 BRT 2021,Thu Sep 02 10:27:44 BRT 2021
0,1459,Thu Sep 02 10:27:44 BRT 2021,Thu Sep 02 10:27:45 BRT 2021
0,1474,Thu Sep 02 10:27:45 BRT 2021,Thu Sep 02 10:27:47 BRT 2021
0,1239,Thu Sep 02 10:27:47 BRT 2021,Thu Sep 02 10:27:48 BRT 2021
0,2092,Thu Sep 02 10:27:48 BRT 2021,Thu Sep 02 10:27:50 BRT 2021
0,1669,Thu Sep 02 10:27:50 BRT 2021,Thu Sep 02 10:27:52 BRT 2021
0,1607,Thu Sep 02 10:27:52 BRT 2021,Thu Sep 02 10:27:53 BRT 2021
0,1558,Thu Sep 02 10:27:53 BRT 2021,Thu Sep 02 10:27:55 BRT 2021
0,1463,Thu Sep 02 10:27:55 BRT 2021,Thu Sep 02 10:27:56 BRT 2021
0,1100,Thu Sep 02 10:27:56 BRT 2021,Thu Sep 02 10:27:57 BRT 2021
0,1289,Thu Sep 02 10:27:57 BRT 2021,Thu Sep 02 10:27:59 BRT 2021
0,1458,Thu Sep 02 10:27:59 BRT 2021,Thu Sep 02 10:28:00 BRT 2021
0,1288,Thu Sep 02 10:28:00 BRT 2021,Thu Sep 02 10:28:01 BRT 2021
0,1370,Thu Sep 02 10:28:01 BRT 2021,Thu Sep 02 10:28:03 BRT 2021
0,1361,Thu Sep 02 10:28:03 BRT 2021,Thu Sep 02 10:28:04 BRT 2021
0,1566,Thu Sep 02 10:28:04 BRT 2021,Thu Sep 02 10:28:06 BRT 2021
0,1685,Thu Sep 02 10:28:06 BRT 2021,Thu Sep 02 10:28:07 BRT 2021
0,1809,Thu Sep 02 10:28:07 BRT 2021,Thu Sep 02 10:28:09 BRT 2021
-1,4411,Thu Sep 02 10:28:09 BRT 2021,Thu Sep 02 10:28:14 BRT 2021
0,2401,Thu Sep 02 10:28:14 BRT 2021,Thu Sep 02 10:28:16 BRT 2021
0,1283,Thu Sep 02 10:28:16 BRT 2021,Thu Sep 02 10:28:17 BRT 2021
0,2076,Thu Sep 02 10:28:17 BRT 2021,Thu Sep 02 10:28:19 BRT 2021
0,1868,Thu Sep 02 10:28:19 BRT 2021,Thu Sep 02 10:28:21 BRT 2021
1,2948,Thu Sep 02 10:28:21 BRT 2021,Thu Sep 02 10:28:24 BRT 2021
0,2152,Thu Sep 02 10:28:24 BRT 2021,Thu Sep 02 10:28:26 BRT 2021
0,2082,Thu Sep 02 10:28:26 BRT 2021,Thu Sep 02 10:28:28 BRT 2021
0,1392,Thu Sep 02 10:28:28 BRT 2021,Thu Sep 02 10:28:30 BRT 2021
0,2049,Thu Sep 02 10:28:30 BRT 2021,Thu Sep 02 10:28:32 BRT 2021
0,2300,Thu Sep 02 10:28:32 BRT 2021,Thu Sep 02 10:28:34 BRT 2021
0,2683,Thu Sep 02 10:28:34 BRT 2021,Thu Sep 02 10:28:37 BRT 2021
0,1322,Thu Sep 02 10:28:37 BRT 2021,Thu Sep 02 10:28:38 BRT 2021
0,1302,Thu Sep 02 10:28:38 BRT 2021,Thu Sep 02 10:28:39 BRT 2021
0,1358,Thu Sep 02 10:28:39 BRT 2021,Thu Sep 02 10:28:41 BRT 2021
1,3061,Thu Sep 02 10:28:41 BRT 2021,Thu Sep 02 10:28:44 BRT 2021
0,1389,Thu Sep 02 10:28:44 BRT 2021,Thu Sep 02 10:28:45 BRT 2021
1,3353,Thu Sep 02 10:28:45 BRT 2021,Thu Sep 02 10:28:49 BRT 2021
1,2491,Thu Sep 02 10:28:49 BRT 2021,Thu Sep 02 10:28:51 BRT 2021
1,3816,Thu Sep 02 10:28:51 BRT 2021,Thu Sep 02 10:28:55 BRT 2021
0,2124,Thu Sep 02 10:28:55 BRT 2021,Thu Sep 02 10:28:57 BRT 2021
1,2676,Thu Sep 02 10:28:57 BRT 2021,Thu Sep 02 10:29:00 BRT 2021
0,1766,Thu Sep 02 10:29:00 BRT 2021,Thu Sep 02 10:29:02 BRT 2021
0,2564,Thu Sep 02 10:29:02 BRT 2021,Thu Sep 02 10:29:04 BRT 2021
0,1210,Thu Sep 02 10:29:04 BRT 2021,Thu Sep 02 10:29:05 BRT 2021
0,1319,Thu Sep 02 10:29:05 BRT 2021,Thu Sep 02 10:29:07 BRT 2021
0,1483,Thu Sep 02 10:29:07 BRT 2021,Thu Sep 02 10:29:08 BRT 2021
1,2951,Thu Sep 02 10:29:08 BRT 2021,Thu Sep 02 10:29:11 BRT 2021
1,2667,Thu Sep 02 10:29:11 BRT 2021,Thu Sep 02 10:29:14 BRT 2021
0,4386,Thu Sep 02 10:29:14 BRT 2021,Thu Sep 02 10:29:18 BRT 2021
0,1372,Thu Sep 02 10:29:18 BRT 2021,Thu Sep 02 10:29:19 BRT 2021
0,2121,Thu Sep 02 10:29:19 BRT 2021,Thu Sep 02 10:29:22 BRT 2021
0,2292,Thu Sep 02 10:29:22 BRT 2021,Thu Sep 02 10:29:24 BRT 2021
0,2413,Thu Sep 02 10:29:24 BRT 2021,Thu Sep 02 10:29:26 BRT 2021
0,2358,Thu Sep 02 10:29:26 BRT 2021,Thu Sep 02 10:29:29 BRT 2021
0,1420,Thu Sep 02 10:29:29 BRT 2021,Thu Sep 02 10:29:30 BRT 2021
0,1088,Thu Sep 02 10:29:30 BRT 2021,Thu Sep 02 10:29:31 BRT 2021
0,1036,Thu Sep 02 10:29:31 BRT 2021,Thu Sep 02 10:29:32 BRT 2021
0,1572,Thu Sep 02 10:29:32 BRT 2021,Thu Sep 02 10:29:34 BRT 2021
0,1162,Thu Sep 02 10:29:34 BRT 2021,Thu Sep 02 10:29:35 BRT 2021
1,2683,Thu Sep 02 10:29:35 BRT 2021,Thu Sep 02 10:29:38 BRT 2021
0,2104,Thu Sep 02 10:29:38 BRT 2021,Thu Sep 02 10:29:40 BRT 2021
0,1541,Thu Sep 02 10:29:40 BRT 2021,Thu Sep 02 10:29:41 BRT 2021
0,2438,Thu Sep 02 10:29:41 BRT 2021,Thu Sep 02 10:29:44 BRT 2021
1,3397,Thu Sep 02 10:29:44 BRT 2021,Thu Sep 02 10:29:47 BRT 2021
0,1953,Thu Sep 02 10:29:47 BRT 2021,Thu Sep 02 10:29:49 BRT 2021
0,1463,Thu Sep 02 10:29:49 BRT 2021,Thu Sep 02 10:29:51 BRT 2021
1,3749,Thu Sep 02 10:29:51 BRT 2021,Thu Sep 02 10:29:54 BRT 2021
0,1148,Thu Sep 02 10:29:54 BRT 2021,Thu Sep 02 10:29:55 BRT 2021
0,1242,Thu Sep 02 10:29:55 BRT 2021,Thu Sep 02 10:29:57 BRT 2021
0,2183,Thu Sep 02 10:29:57 BRT 2021,Thu Sep 02 10:29:59 BRT 2021
0,1281,Thu Sep 02 10:29:59 BRT 2021,Thu Sep 02 10:30:00 BRT 2021
0,1773,Thu Sep 02 10:30:00 BRT 2021,Thu Sep 02 10:30:02 BRT 2021
0,2800,Thu Sep 02 10:30:02 BRT 2021,Thu Sep 02 10:30:05 BRT 2021
0,1748,Thu Sep 02 10:30:05 BRT 2021,Thu Sep 02 10:30:06 BRT 2021
0,1359,Thu Sep 02 10:30:06 BRT 2021,Thu Sep 02 10:30:08 BRT 2021
0,1313,Thu Sep 02 10:30:08 BRT 2021,Thu Sep 02 10:30:09 BRT 2021
0,1434,Thu Sep 02 10:30:09 BRT 2021,Thu Sep 02 10:30:11 BRT 2021
0,994,Thu Sep 02 10:30:11 BRT 2021,Thu Sep 02 10:30:12 BRT 2021
0,1469,Thu Sep 02 10:30:12 BRT 2021,Thu Sep 02 10:30:13 BRT 2021
0,1671,Thu Sep 02 10:30:13 BRT 2021,Thu Sep 02 10:30:15 BRT 2021
0,3579,Thu Sep 02 10:30:15 BRT 2021,Thu Sep 02 10:30:18 BRT 2021
0,1104,Thu Sep 02 10:30:18 BRT 2021,Thu Sep 02 10:30:19 BRT 2021
0,1218,Thu Sep 02 10:30:19 BRT 2021,Thu Sep 02 10:30:21 BRT 2021
1,2385,Thu Sep 02 10:30:21 BRT 2021,Thu Sep 02 10:30:23 BRT 2021
0,1565,Thu Sep 02 10:30:23 BRT 2021,Thu Sep 02 10:30:25 BRT 2021
0,2166,Thu Sep 02 10:30:25 BRT 2021,Thu Sep 02 10:30:27 BRT 2021
0,1538,Thu Sep 02 10:30:27 BRT 2021,Thu Sep 02 10:30:28 BRT 2021
0,2097,Thu Sep 02 10:30:28 BRT 2021,Thu Sep 02 10:30:30 BRT 2021
0,1492,Thu Sep 02 10:30:30 BRT 2021,Thu Sep 02 10:30:32 BRT 2021
0,2440,Thu Sep 02 10:30:32 BRT 2021,Thu Sep 02 10:30:34 BRT 2021
0,1480,Thu Sep 02 10:30:34 BRT 2021,Thu Sep 02 10:30:36 BRT 2021
0,1224,Thu Sep 02 10:30:36 BRT 2021,Thu Sep 02 10:30:37 BRT 2021
0,1717,Thu Sep 02 10:30:37 BRT 2021,Thu Sep 02 10:30:39 BRT 2021
0,1190,Thu Sep 02 10:30:39 BRT 2021,Thu Sep 02 10:30:40 BRT 2021
0,1334,Thu Sep 02 10:30:40 BRT 2021,Thu Sep 02 10:30:41 BRT 2021
0,1752,Thu Sep 02 10:30:41 BRT 2021,Thu Sep 02 10:30:43 BRT 2021
0,1325,Thu Sep 02 10:30:43 BRT 2021,Thu Sep 02 10:30:44 BRT 2021
0,1458,Thu Sep 02 10:30:44 BRT 2021,Thu Sep 02 10:30:46 BRT 2021
0,2128,Thu Sep 02 10:30:46 BRT 2021,Thu Sep 02 10:30:48 BRT 2021
0,3334,Thu Sep 02 10:30:48 BRT 2021,Thu Sep 02 10:30:51 BRT 2021
0,1359,Thu Sep 02 10:30:51 BRT 2021,Thu Sep 02 10:30:53 BRT 2021
0,1629,Thu Sep 02 10:30:53 BRT 2021,Thu Sep 02 10:30:54 BRT 2021
0,1481,Thu Sep 02 10:30:54 BRT 2021,Thu Sep 02 10:30:56 BRT 2021
0,1784,Thu Sep 02 10:30:56 BRT 2021,Thu Sep 02 10:30:57 BRT 2021
0,3350,Thu Sep 02 10:30:57 BRT 2021,Thu Sep 02 10:31:01 BRT 2021
0,1304,Thu Sep 02 10:31:01 BRT 2021,Thu Sep 02 10:31:02 BRT 2021
