#result,duration(ms),initial_time,final_time
0,3075,Thu Sep 02 05:19:22 BRT 2021,Thu Sep 02 05:19:25 BRT 2021
0,2192,Thu Sep 02 05:19:25 BRT 2021,Thu Sep 02 05:19:27 BRT 2021
0,2516,Thu Sep 02 05:19:27 BRT 2021,Thu Sep 02 05:19:30 BRT 2021
1,1659,Thu Sep 02 05:19:30 BRT 2021,Thu Sep 02 05:19:31 BRT 2021
0,1427,Thu Sep 02 05:19:31 BRT 2021,Thu Sep 02 05:19:33 BRT 2021
0,1174,Thu Sep 02 05:19:33 BRT 2021,Thu Sep 02 05:19:34 BRT 2021
0,1574,Thu Sep 02 05:19:34 BRT 2021,Thu Sep 02 05:19:35 BRT 2021
0,1820,Thu Sep 02 05:19:35 BRT 2021,Thu Sep 02 05:19:37 BRT 2021
0,1081,Thu Sep 02 05:19:37 BRT 2021,Thu Sep 02 05:19:38 BRT 2021
0,1027,Thu Sep 02 05:19:38 BRT 2021,Thu Sep 02 05:19:39 BRT 2021
0,942,Thu Sep 02 05:19:39 BRT 2021,Thu Sep 02 05:19:40 BRT 2021
0,1634,Thu Sep 02 05:19:40 BRT 2021,Thu Sep 02 05:19:42 BRT 2021
0,917,Thu Sep 02 05:19:42 BRT 2021,Thu Sep 02 05:19:43 BRT 2021
0,623,Thu Sep 02 05:19:43 BRT 2021,Thu Sep 02 05:19:43 BRT 2021
0,949,Thu Sep 02 05:19:43 BRT 2021,Thu Sep 02 05:19:44 BRT 2021
0,1071,Thu Sep 02 05:19:44 BRT 2021,Thu Sep 02 05:19:45 BRT 2021
0,1556,Thu Sep 02 05:19:45 BRT 2021,Thu Sep 02 05:19:47 BRT 2021
0,1137,Thu Sep 02 05:19:47 BRT 2021,Thu Sep 02 05:19:48 BRT 2021
0,1085,Thu Sep 02 05:19:48 BRT 2021,Thu Sep 02 05:19:49 BRT 2021
0,1275,Thu Sep 02 05:19:49 BRT 2021,Thu Sep 02 05:19:51 BRT 2021
0,567,Thu Sep 02 05:19:51 BRT 2021,Thu Sep 02 05:19:51 BRT 2021
0,1189,Thu Sep 02 05:19:51 BRT 2021,Thu Sep 02 05:19:52 BRT 2021
0,578,Thu Sep 02 05:19:52 BRT 2021,Thu Sep 02 05:19:53 BRT 2021
0,1121,Thu Sep 02 05:19:53 BRT 2021,Thu Sep 02 05:19:54 BRT 2021
0,1143,Thu Sep 02 05:19:54 BRT 2021,Thu Sep 02 05:19:55 BRT 2021
0,766,Thu Sep 02 05:19:55 BRT 2021,Thu Sep 02 05:19:56 BRT 2021
1,1032,Thu Sep 02 05:19:56 BRT 2021,Thu Sep 02 05:19:57 BRT 2021
0,1102,Thu Sep 02 05:19:57 BRT 2021,Thu Sep 02 05:19:58 BRT 2021
1,747,Thu Sep 02 05:19:58 BRT 2021,Thu Sep 02 05:19:59 BRT 2021
0,571,Thu Sep 02 05:19:59 BRT 2021,Thu Sep 02 05:19:59 BRT 2021
0,971,Thu Sep 02 05:19:59 BRT 2021,Thu Sep 02 05:20:00 BRT 2021
0,1048,Thu Sep 02 05:20:00 BRT 2021,Thu Sep 02 05:20:01 BRT 2021
1,1007,Thu Sep 02 05:20:01 BRT 2021,Thu Sep 02 05:20:02 BRT 2021
0,886,Thu Sep 02 05:20:02 BRT 2021,Thu Sep 02 05:20:03 BRT 2021
0,1197,Thu Sep 02 05:20:03 BRT 2021,Thu Sep 02 05:20:04 BRT 2021
0,762,Thu Sep 02 05:20:04 BRT 2021,Thu Sep 02 05:20:05 BRT 2021
1,2041,Thu Sep 02 05:20:05 BRT 2021,Thu Sep 02 05:20:07 BRT 2021
0,978,Thu Sep 02 05:20:07 BRT 2021,Thu Sep 02 05:20:08 BRT 2021
0,669,Thu Sep 02 05:20:08 BRT 2021,Thu Sep 02 05:20:09 BRT 2021
0,851,Thu Sep 02 05:20:09 BRT 2021,Thu Sep 02 05:20:10 BRT 2021
0,700,Thu Sep 02 05:20:10 BRT 2021,Thu Sep 02 05:20:10 BRT 2021
0,714,Thu Sep 02 05:20:10 BRT 2021,Thu Sep 02 05:20:11 BRT 2021
0,780,Thu Sep 02 05:20:11 BRT 2021,Thu Sep 02 05:20:12 BRT 2021
0,839,Thu Sep 02 05:20:12 BRT 2021,Thu Sep 02 05:20:13 BRT 2021
0,916,Thu Sep 02 05:20:13 BRT 2021,Thu Sep 02 05:20:14 BRT 2021
0,1160,Thu Sep 02 05:20:14 BRT 2021,Thu Sep 02 05:20:15 BRT 2021
0,666,Thu Sep 02 05:20:15 BRT 2021,Thu Sep 02 05:20:16 BRT 2021
0,1328,Thu Sep 02 05:20:16 BRT 2021,Thu Sep 02 05:20:17 BRT 2021
0,626,Thu Sep 02 05:20:17 BRT 2021,Thu Sep 02 05:20:18 BRT 2021
1,587,Thu Sep 02 05:20:18 BRT 2021,Thu Sep 02 05:20:18 BRT 2021
1,949,Thu Sep 02 05:20:18 BRT 2021,Thu Sep 02 05:20:19 BRT 2021
0,1080,Thu Sep 02 05:20:19 BRT 2021,Thu Sep 02 05:20:20 BRT 2021
0,1928,Thu Sep 02 05:20:20 BRT 2021,Thu Sep 02 05:20:22 BRT 2021
0,1108,Thu Sep 02 05:20:22 BRT 2021,Thu Sep 02 05:20:23 BRT 2021
1,1272,Thu Sep 02 05:20:23 BRT 2021,Thu Sep 02 05:20:24 BRT 2021
0,924,Thu Sep 02 05:20:24 BRT 2021,Thu Sep 02 05:20:25 BRT 2021
0,1068,Thu Sep 02 05:20:25 BRT 2021,Thu Sep 02 05:20:26 BRT 2021
0,593,Thu Sep 02 05:20:26 BRT 2021,Thu Sep 02 05:20:27 BRT 2021
0,868,Thu Sep 02 05:20:27 BRT 2021,Thu Sep 02 05:20:28 BRT 2021
0,1345,Thu Sep 02 05:20:28 BRT 2021,Thu Sep 02 05:20:29 BRT 2021
0,940,Thu Sep 02 05:20:29 BRT 2021,Thu Sep 02 05:20:30 BRT 2021
0,1082,Thu Sep 02 05:20:30 BRT 2021,Thu Sep 02 05:20:31 BRT 2021
-1,2249,Thu Sep 02 05:20:31 BRT 2021,Thu Sep 02 05:20:34 BRT 2021
0,551,Thu Sep 02 05:20:34 BRT 2021,Thu Sep 02 05:20:34 BRT 2021
0,818,Thu Sep 02 05:20:34 BRT 2021,Thu Sep 02 05:20:35 BRT 2021
0,1147,Thu Sep 02 05:20:35 BRT 2021,Thu Sep 02 05:20:36 BRT 2021
0,1138,Thu Sep 02 05:20:36 BRT 2021,Thu Sep 02 05:20:37 BRT 2021
0,1053,Thu Sep 02 05:20:37 BRT 2021,Thu Sep 02 05:20:38 BRT 2021
0,718,Thu Sep 02 05:20:38 BRT 2021,Thu Sep 02 05:20:39 BRT 2021
0,1525,Thu Sep 02 05:20:39 BRT 2021,Thu Sep 02 05:20:40 BRT 2021
0,1076,Thu Sep 02 05:20:40 BRT 2021,Thu Sep 02 05:20:42 BRT 2021
0,1280,Thu Sep 02 05:20:42 BRT 2021,Thu Sep 02 05:20:43 BRT 2021
0,590,Thu Sep 02 05:20:43 BRT 2021,Thu Sep 02 05:20:43 BRT 2021
0,840,Thu Sep 02 05:20:43 BRT 2021,Thu Sep 02 05:20:44 BRT 2021
1,747,Thu Sep 02 05:20:44 BRT 2021,Thu Sep 02 05:20:45 BRT 2021
0,844,Thu Sep 02 05:20:45 BRT 2021,Thu Sep 02 05:20:46 BRT 2021
0,1595,Thu Sep 02 05:20:46 BRT 2021,Thu Sep 02 05:20:47 BRT 2021
0,874,Thu Sep 02 05:20:47 BRT 2021,Thu Sep 02 05:20:48 BRT 2021
0,1079,Thu Sep 02 05:20:48 BRT 2021,Thu Sep 02 05:20:49 BRT 2021
1,1385,Thu Sep 02 05:20:49 BRT 2021,Thu Sep 02 05:20:51 BRT 2021
0,1853,Thu Sep 02 05:20:51 BRT 2021,Thu Sep 02 05:20:53 BRT 2021
0,701,Thu Sep 02 05:20:53 BRT 2021,Thu Sep 02 05:20:53 BRT 2021
0,1142,Thu Sep 02 05:20:53 BRT 2021,Thu Sep 02 05:20:54 BRT 2021
0,956,Thu Sep 02 05:20:54 BRT 2021,Thu Sep 02 05:20:55 BRT 2021
0,936,Thu Sep 02 05:20:55 BRT 2021,Thu Sep 02 05:20:56 BRT 2021
0,663,Thu Sep 02 05:20:56 BRT 2021,Thu Sep 02 05:20:57 BRT 2021
1,861,Thu Sep 02 05:20:57 BRT 2021,Thu Sep 02 05:20:58 BRT 2021
0,885,Thu Sep 02 05:20:58 BRT 2021,Thu Sep 02 05:20:59 BRT 2021
0,1096,Thu Sep 02 05:20:59 BRT 2021,Thu Sep 02 05:21:00 BRT 2021
0,986,Thu Sep 02 05:21:00 BRT 2021,Thu Sep 02 05:21:01 BRT 2021
0,1270,Thu Sep 02 05:21:01 BRT 2021,Thu Sep 02 05:21:02 BRT 2021
1,1350,Thu Sep 02 05:21:02 BRT 2021,Thu Sep 02 05:21:03 BRT 2021
0,605,Thu Sep 02 05:21:03 BRT 2021,Thu Sep 02 05:21:04 BRT 2021
0,1374,Thu Sep 02 05:21:04 BRT 2021,Thu Sep 02 05:21:05 BRT 2021
1,1091,Thu Sep 02 05:21:05 BRT 2021,Thu Sep 02 05:21:07 BRT 2021
0,1086,Thu Sep 02 05:21:07 BRT 2021,Thu Sep 02 05:21:08 BRT 2021
0,1658,Thu Sep 02 05:21:08 BRT 2021,Thu Sep 02 05:21:09 BRT 2021
0,1738,Thu Sep 02 05:21:09 BRT 2021,Thu Sep 02 05:21:11 BRT 2021
0,1009,Thu Sep 02 05:21:11 BRT 2021,Thu Sep 02 05:21:12 BRT 2021
