#result,duration(ms),initial_time,final_time
0,4272,Thu Sep 02 07:45:20 BRT 2021,Thu Sep 02 07:45:24 BRT 2021
1,1562,Thu Sep 02 07:45:24 BRT 2021,Thu Sep 02 07:45:26 BRT 2021
0,1198,Thu Sep 02 07:45:26 BRT 2021,Thu Sep 02 07:45:27 BRT 2021
0,1606,Thu Sep 02 07:45:27 BRT 2021,Thu Sep 02 07:45:29 BRT 2021
0,669,Thu Sep 02 07:45:29 BRT 2021,Thu Sep 02 07:45:30 BRT 2021
0,927,Thu Sep 02 07:45:30 BRT 2021,Thu Sep 02 07:45:30 BRT 2021
0,1348,Thu Sep 02 07:45:30 BRT 2021,Thu Sep 02 07:45:32 BRT 2021
0,894,Thu Sep 02 07:45:32 BRT 2021,Thu Sep 02 07:45:33 BRT 2021
0,793,Thu Sep 02 07:45:33 BRT 2021,Thu Sep 02 07:45:33 BRT 2021
0,758,Thu Sep 02 07:45:33 BRT 2021,Thu Sep 02 07:45:34 BRT 2021
0,559,Thu Sep 02 07:45:34 BRT 2021,Thu Sep 02 07:45:35 BRT 2021
0,846,Thu Sep 02 07:45:35 BRT 2021,Thu Sep 02 07:45:36 BRT 2021
0,807,Thu Sep 02 07:45:36 BRT 2021,Thu Sep 02 07:45:36 BRT 2021
0,1744,Thu Sep 02 07:45:36 BRT 2021,Thu Sep 02 07:45:38 BRT 2021
0,740,Thu Sep 02 07:45:38 BRT 2021,Thu Sep 02 07:45:39 BRT 2021
0,1013,Thu Sep 02 07:45:39 BRT 2021,Thu Sep 02 07:45:40 BRT 2021
0,633,Thu Sep 02 07:45:40 BRT 2021,Thu Sep 02 07:45:41 BRT 2021
1,1978,Thu Sep 02 07:45:41 BRT 2021,Thu Sep 02 07:45:43 BRT 2021
0,653,Thu Sep 02 07:45:43 BRT 2021,Thu Sep 02 07:45:43 BRT 2021
1,1423,Thu Sep 02 07:45:43 BRT 2021,Thu Sep 02 07:45:45 BRT 2021
1,2320,Thu Sep 02 07:45:45 BRT 2021,Thu Sep 02 07:45:47 BRT 2021
0,834,Thu Sep 02 07:45:47 BRT 2021,Thu Sep 02 07:45:48 BRT 2021
0,934,Thu Sep 02 07:45:48 BRT 2021,Thu Sep 02 07:45:49 BRT 2021
0,738,Thu Sep 02 07:45:49 BRT 2021,Thu Sep 02 07:45:49 BRT 2021
1,1199,Thu Sep 02 07:45:49 BRT 2021,Thu Sep 02 07:45:51 BRT 2021
1,998,Thu Sep 02 07:45:51 BRT 2021,Thu Sep 02 07:45:52 BRT 2021
0,1505,Thu Sep 02 07:45:52 BRT 2021,Thu Sep 02 07:45:53 BRT 2021
0,1161,Thu Sep 02 07:45:53 BRT 2021,Thu Sep 02 07:45:54 BRT 2021
0,967,Thu Sep 02 07:45:54 BRT 2021,Thu Sep 02 07:45:55 BRT 2021
0,1398,Thu Sep 02 07:45:55 BRT 2021,Thu Sep 02 07:45:57 BRT 2021
1,752,Thu Sep 02 07:45:57 BRT 2021,Thu Sep 02 07:45:57 BRT 2021
1,740,Thu Sep 02 07:45:57 BRT 2021,Thu Sep 02 07:45:58 BRT 2021
0,857,Thu Sep 02 07:45:58 BRT 2021,Thu Sep 02 07:45:59 BRT 2021
0,1229,Thu Sep 02 07:45:59 BRT 2021,Thu Sep 02 07:46:00 BRT 2021
0,985,Thu Sep 02 07:46:00 BRT 2021,Thu Sep 02 07:46:01 BRT 2021
1,731,Thu Sep 02 07:46:01 BRT 2021,Thu Sep 02 07:46:02 BRT 2021
0,1148,Thu Sep 02 07:46:02 BRT 2021,Thu Sep 02 07:46:03 BRT 2021
0,928,Thu Sep 02 07:46:03 BRT 2021,Thu Sep 02 07:46:04 BRT 2021
0,781,Thu Sep 02 07:46:04 BRT 2021,Thu Sep 02 07:46:05 BRT 2021
0,794,Thu Sep 02 07:46:05 BRT 2021,Thu Sep 02 07:46:06 BRT 2021
