#result,duration(ms),initial_time,final_time
0,4441,Thu Sep 02 08:39:53 BRT 2021,Thu Sep 02 08:39:58 BRT 2021
0,3774,Thu Sep 02 08:39:58 BRT 2021,Thu Sep 02 08:40:02 BRT 2021
1,4886,Thu Sep 02 08:40:02 BRT 2021,Thu Sep 02 08:40:07 BRT 2021
0,1383,Thu Sep 02 08:40:07 BRT 2021,Thu Sep 02 08:40:08 BRT 2021
0,1848,Thu Sep 02 08:40:08 BRT 2021,Thu Sep 02 08:40:10 BRT 2021
0,2274,Thu Sep 02 08:40:10 BRT 2021,Thu Sep 02 08:40:12 BRT 2021
0,1316,Thu Sep 02 08:40:12 BRT 2021,Thu Sep 02 08:40:13 BRT 2021
0,1245,Thu Sep 02 08:40:13 BRT 2021,Thu Sep 02 08:40:15 BRT 2021
0,2111,Thu Sep 02 08:40:15 BRT 2021,Thu Sep 02 08:40:17 BRT 2021
0,1245,Thu Sep 02 08:40:17 BRT 2021,Thu Sep 02 08:40:18 BRT 2021
0,1687,Thu Sep 02 08:40:18 BRT 2021,Thu Sep 02 08:40:20 BRT 2021
0,1042,Thu Sep 02 08:40:20 BRT 2021,Thu Sep 02 08:40:21 BRT 2021
0,1526,Thu Sep 02 08:40:21 BRT 2021,Thu Sep 02 08:40:22 BRT 2021
0,1601,Thu Sep 02 08:40:22 BRT 2021,Thu Sep 02 08:40:24 BRT 2021
0,1485,Thu Sep 02 08:40:24 BRT 2021,Thu Sep 02 08:40:25 BRT 2021
0,1293,Thu Sep 02 08:40:25 BRT 2021,Thu Sep 02 08:40:27 BRT 2021
0,2890,Thu Sep 02 08:40:27 BRT 2021,Thu Sep 02 08:40:29 BRT 2021
0,4030,Thu Sep 02 08:40:29 BRT 2021,Thu Sep 02 08:40:34 BRT 2021
1,2362,Thu Sep 02 08:40:34 BRT 2021,Thu Sep 02 08:40:36 BRT 2021
0,1555,Thu Sep 02 08:40:36 BRT 2021,Thu Sep 02 08:40:37 BRT 2021
0,1299,Thu Sep 02 08:40:37 BRT 2021,Thu Sep 02 08:40:39 BRT 2021
0,2255,Thu Sep 02 08:40:39 BRT 2021,Thu Sep 02 08:40:41 BRT 2021
0,2358,Thu Sep 02 08:40:41 BRT 2021,Thu Sep 02 08:40:43 BRT 2021
0,1913,Thu Sep 02 08:40:43 BRT 2021,Thu Sep 02 08:40:45 BRT 2021
1,2786,Thu Sep 02 08:40:45 BRT 2021,Thu Sep 02 08:40:48 BRT 2021
0,1321,Thu Sep 02 08:40:48 BRT 2021,Thu Sep 02 08:40:49 BRT 2021
0,1832,Thu Sep 02 08:40:49 BRT 2021,Thu Sep 02 08:40:51 BRT 2021
0,1508,Thu Sep 02 08:40:51 BRT 2021,Thu Sep 02 08:40:53 BRT 2021
0,1408,Thu Sep 02 08:40:53 BRT 2021,Thu Sep 02 08:40:54 BRT 2021
0,1154,Thu Sep 02 08:40:54 BRT 2021,Thu Sep 02 08:40:55 BRT 2021
0,1393,Thu Sep 02 08:40:55 BRT 2021,Thu Sep 02 08:40:57 BRT 2021
0,1301,Thu Sep 02 08:40:57 BRT 2021,Thu Sep 02 08:40:58 BRT 2021
0,1509,Thu Sep 02 08:40:58 BRT 2021,Thu Sep 02 08:40:59 BRT 2021
0,1159,Thu Sep 02 08:40:59 BRT 2021,Thu Sep 02 08:41:01 BRT 2021
0,2755,Thu Sep 02 08:41:01 BRT 2021,Thu Sep 02 08:41:03 BRT 2021
0,1282,Thu Sep 02 08:41:03 BRT 2021,Thu Sep 02 08:41:05 BRT 2021
0,1148,Thu Sep 02 08:41:05 BRT 2021,Thu Sep 02 08:41:06 BRT 2021
0,2044,Thu Sep 02 08:41:06 BRT 2021,Thu Sep 02 08:41:08 BRT 2021
1,3868,Thu Sep 02 08:41:08 BRT 2021,Thu Sep 02 08:41:12 BRT 2021
0,1590,Thu Sep 02 08:41:12 BRT 2021,Thu Sep 02 08:41:13 BRT 2021
0,4269,Thu Sep 02 08:41:13 BRT 2021,Thu Sep 02 08:41:18 BRT 2021
0,2002,Thu Sep 02 08:41:18 BRT 2021,Thu Sep 02 08:41:20 BRT 2021
0,1234,Thu Sep 02 08:41:20 BRT 2021,Thu Sep 02 08:41:21 BRT 2021
0,1457,Thu Sep 02 08:41:21 BRT 2021,Thu Sep 02 08:41:22 BRT 2021
1,3916,Thu Sep 02 08:41:22 BRT 2021,Thu Sep 02 08:41:26 BRT 2021
0,1164,Thu Sep 02 08:41:26 BRT 2021,Thu Sep 02 08:41:27 BRT 2021
0,1206,Thu Sep 02 08:41:27 BRT 2021,Thu Sep 02 08:41:29 BRT 2021
0,1589,Thu Sep 02 08:41:29 BRT 2021,Thu Sep 02 08:41:30 BRT 2021
0,1634,Thu Sep 02 08:41:30 BRT 2021,Thu Sep 02 08:41:32 BRT 2021
0,1234,Thu Sep 02 08:41:32 BRT 2021,Thu Sep 02 08:41:33 BRT 2021
