#result,duration(ms),initial_time,final_time
0,3395,Wed Sep 01 23:38:13 BRT 2021,Wed Sep 01 23:38:16 BRT 2021
0,2266,Wed Sep 01 23:38:16 BRT 2021,Wed Sep 01 23:38:18 BRT 2021
0,1007,Wed Sep 01 23:38:18 BRT 2021,Wed Sep 01 23:38:19 BRT 2021
0,968,Wed Sep 01 23:38:19 BRT 2021,Wed Sep 01 23:38:20 BRT 2021
0,1826,Wed Sep 01 23:38:20 BRT 2021,Wed Sep 01 23:38:22 BRT 2021
0,648,Wed Sep 01 23:38:22 BRT 2021,Wed Sep 01 23:38:23 BRT 2021
0,765,Wed Sep 01 23:38:23 BRT 2021,Wed Sep 01 23:38:24 BRT 2021
0,734,Wed Sep 01 23:38:24 BRT 2021,Wed Sep 01 23:38:24 BRT 2021
0,1150,Wed Sep 01 23:38:24 BRT 2021,Wed Sep 01 23:38:26 BRT 2021
0,1755,Wed Sep 01 23:38:26 BRT 2021,Wed Sep 01 23:38:27 BRT 2021
0,543,Wed Sep 01 23:38:27 BRT 2021,Wed Sep 01 23:38:28 BRT 2021
0,1047,Wed Sep 01 23:38:28 BRT 2021,Wed Sep 01 23:38:29 BRT 2021
1,1220,Wed Sep 01 23:38:29 BRT 2021,Wed Sep 01 23:38:30 BRT 2021
0,1278,Wed Sep 01 23:38:30 BRT 2021,Wed Sep 01 23:38:31 BRT 2021
1,1199,Wed Sep 01 23:38:31 BRT 2021,Wed Sep 01 23:38:33 BRT 2021
0,1078,Wed Sep 01 23:38:33 BRT 2021,Wed Sep 01 23:38:34 BRT 2021
0,521,Wed Sep 01 23:38:34 BRT 2021,Wed Sep 01 23:38:34 BRT 2021
0,1161,Wed Sep 01 23:38:34 BRT 2021,Wed Sep 01 23:38:35 BRT 2021
0,529,Wed Sep 01 23:38:35 BRT 2021,Wed Sep 01 23:38:36 BRT 2021
0,515,Wed Sep 01 23:38:36 BRT 2021,Wed Sep 01 23:38:36 BRT 2021
0,1412,Wed Sep 01 23:38:36 BRT 2021,Wed Sep 01 23:38:38 BRT 2021
1,1160,Wed Sep 01 23:38:38 BRT 2021,Wed Sep 01 23:38:39 BRT 2021
0,623,Wed Sep 01 23:38:39 BRT 2021,Wed Sep 01 23:38:40 BRT 2021
0,1115,Wed Sep 01 23:38:40 BRT 2021,Wed Sep 01 23:38:41 BRT 2021
0,1015,Wed Sep 01 23:38:41 BRT 2021,Wed Sep 01 23:38:42 BRT 2021
1,1143,Wed Sep 01 23:38:42 BRT 2021,Wed Sep 01 23:38:43 BRT 2021
0,940,Wed Sep 01 23:38:43 BRT 2021,Wed Sep 01 23:38:44 BRT 2021
0,1431,Wed Sep 01 23:38:44 BRT 2021,Wed Sep 01 23:38:45 BRT 2021
0,1185,Wed Sep 01 23:38:45 BRT 2021,Wed Sep 01 23:38:46 BRT 2021
0,1491,Wed Sep 01 23:38:46 BRT 2021,Wed Sep 01 23:38:48 BRT 2021
0,1144,Wed Sep 01 23:38:48 BRT 2021,Wed Sep 01 23:38:49 BRT 2021
0,1045,Wed Sep 01 23:38:49 BRT 2021,Wed Sep 01 23:38:50 BRT 2021
1,1171,Wed Sep 01 23:38:50 BRT 2021,Wed Sep 01 23:38:51 BRT 2021
-1,1980,Wed Sep 01 23:38:51 BRT 2021,Wed Sep 01 23:38:53 BRT 2021
0,563,Wed Sep 01 23:38:53 BRT 2021,Wed Sep 01 23:38:54 BRT 2021
