#result,duration(ms),initial_time,final_time
0,3687,Thu Sep 02 08:39:53 BRT 2021,Thu Sep 02 08:39:57 BRT 2021
0,3226,Thu Sep 02 08:39:57 BRT 2021,Thu Sep 02 08:40:00 BRT 2021
0,2454,Thu Sep 02 08:40:00 BRT 2021,Thu Sep 02 08:40:03 BRT 2021
0,1530,Thu Sep 02 08:40:03 BRT 2021,Thu Sep 02 08:40:04 BRT 2021
0,1283,Thu Sep 02 08:40:04 BRT 2021,Thu Sep 02 08:40:06 BRT 2021
0,1694,Thu Sep 02 08:40:06 BRT 2021,Thu Sep 02 08:40:07 BRT 2021
0,2569,Thu Sep 02 08:40:07 BRT 2021,Thu Sep 02 08:40:10 BRT 2021
0,1338,Thu Sep 02 08:40:10 BRT 2021,Thu Sep 02 08:40:11 BRT 2021
0,2482,Thu Sep 02 08:40:11 BRT 2021,Thu Sep 02 08:40:14 BRT 2021
1,3110,Thu Sep 02 08:40:14 BRT 2021,Thu Sep 02 08:40:17 BRT 2021
0,1520,Thu Sep 02 08:40:17 BRT 2021,Thu Sep 02 08:40:18 BRT 2021
1,3727,Thu Sep 02 08:40:18 BRT 2021,Thu Sep 02 08:40:22 BRT 2021
0,3839,Thu Sep 02 08:40:22 BRT 2021,Thu Sep 02 08:40:26 BRT 2021
0,1669,Thu Sep 02 08:40:26 BRT 2021,Thu Sep 02 08:40:28 BRT 2021
0,1074,Thu Sep 02 08:40:28 BRT 2021,Thu Sep 02 08:40:29 BRT 2021
0,1740,Thu Sep 02 08:40:29 BRT 2021,Thu Sep 02 08:40:30 BRT 2021
0,1561,Thu Sep 02 08:40:30 BRT 2021,Thu Sep 02 08:40:32 BRT 2021
0,1251,Thu Sep 02 08:40:32 BRT 2021,Thu Sep 02 08:40:33 BRT 2021
0,1724,Thu Sep 02 08:40:33 BRT 2021,Thu Sep 02 08:40:35 BRT 2021
0,1545,Thu Sep 02 08:40:35 BRT 2021,Thu Sep 02 08:40:36 BRT 2021
0,1371,Thu Sep 02 08:40:36 BRT 2021,Thu Sep 02 08:40:38 BRT 2021
0,1158,Thu Sep 02 08:40:38 BRT 2021,Thu Sep 02 08:40:39 BRT 2021
1,2687,Thu Sep 02 08:40:39 BRT 2021,Thu Sep 02 08:40:42 BRT 2021
1,2165,Thu Sep 02 08:40:42 BRT 2021,Thu Sep 02 08:40:44 BRT 2021
0,2629,Thu Sep 02 08:40:44 BRT 2021,Thu Sep 02 08:40:46 BRT 2021
0,1414,Thu Sep 02 08:40:46 BRT 2021,Thu Sep 02 08:40:48 BRT 2021
0,1521,Thu Sep 02 08:40:48 BRT 2021,Thu Sep 02 08:40:49 BRT 2021
0,1955,Thu Sep 02 08:40:49 BRT 2021,Thu Sep 02 08:40:51 BRT 2021
0,1751,Thu Sep 02 08:40:51 BRT 2021,Thu Sep 02 08:40:53 BRT 2021
0,1607,Thu Sep 02 08:40:53 BRT 2021,Thu Sep 02 08:40:55 BRT 2021
0,4133,Thu Sep 02 08:40:55 BRT 2021,Thu Sep 02 08:40:59 BRT 2021
0,1863,Thu Sep 02 08:40:59 BRT 2021,Thu Sep 02 08:41:01 BRT 2021
1,3290,Thu Sep 02 08:41:01 BRT 2021,Thu Sep 02 08:41:04 BRT 2021
0,1703,Thu Sep 02 08:41:04 BRT 2021,Thu Sep 02 08:41:06 BRT 2021
0,3526,Thu Sep 02 08:41:06 BRT 2021,Thu Sep 02 08:41:09 BRT 2021
0,1274,Thu Sep 02 08:41:09 BRT 2021,Thu Sep 02 08:41:10 BRT 2021
0,1543,Thu Sep 02 08:41:10 BRT 2021,Thu Sep 02 08:41:12 BRT 2021
0,2759,Thu Sep 02 08:41:12 BRT 2021,Thu Sep 02 08:41:15 BRT 2021
0,1397,Thu Sep 02 08:41:15 BRT 2021,Thu Sep 02 08:41:16 BRT 2021
0,1552,Thu Sep 02 08:41:16 BRT 2021,Thu Sep 02 08:41:18 BRT 2021
0,2323,Thu Sep 02 08:41:18 BRT 2021,Thu Sep 02 08:41:20 BRT 2021
0,3184,Thu Sep 02 08:41:20 BRT 2021,Thu Sep 02 08:41:23 BRT 2021
0,1256,Thu Sep 02 08:41:23 BRT 2021,Thu Sep 02 08:41:24 BRT 2021
0,2718,Thu Sep 02 08:41:24 BRT 2021,Thu Sep 02 08:41:27 BRT 2021
0,2139,Thu Sep 02 08:41:27 BRT 2021,Thu Sep 02 08:41:29 BRT 2021
0,1210,Thu Sep 02 08:41:29 BRT 2021,Thu Sep 02 08:41:31 BRT 2021
1,3841,Thu Sep 02 08:41:31 BRT 2021,Thu Sep 02 08:41:34 BRT 2021
0,1589,Thu Sep 02 08:41:34 BRT 2021,Thu Sep 02 08:41:36 BRT 2021
0,2215,Thu Sep 02 08:41:36 BRT 2021,Thu Sep 02 08:41:38 BRT 2021
1,3692,Thu Sep 02 08:41:38 BRT 2021,Thu Sep 02 08:41:42 BRT 2021
1,3117,Thu Sep 02 08:41:42 BRT 2021,Thu Sep 02 08:41:45 BRT 2021
0,1979,Thu Sep 02 08:41:45 BRT 2021,Thu Sep 02 08:41:47 BRT 2021
0,1528,Thu Sep 02 08:41:47 BRT 2021,Thu Sep 02 08:41:49 BRT 2021
0,1743,Thu Sep 02 08:41:49 BRT 2021,Thu Sep 02 08:41:50 BRT 2021
0,1502,Thu Sep 02 08:41:50 BRT 2021,Thu Sep 02 08:41:52 BRT 2021
1,2709,Thu Sep 02 08:41:52 BRT 2021,Thu Sep 02 08:41:54 BRT 2021
0,1779,Thu Sep 02 08:41:54 BRT 2021,Thu Sep 02 08:41:56 BRT 2021
1,2770,Thu Sep 02 08:41:56 BRT 2021,Thu Sep 02 08:41:59 BRT 2021
0,1527,Thu Sep 02 08:41:59 BRT 2021,Thu Sep 02 08:42:01 BRT 2021
1,2224,Thu Sep 02 08:42:01 BRT 2021,Thu Sep 02 08:42:03 BRT 2021
0,1549,Thu Sep 02 08:42:03 BRT 2021,Thu Sep 02 08:42:04 BRT 2021
0,2678,Thu Sep 02 08:42:04 BRT 2021,Thu Sep 02 08:42:07 BRT 2021
0,1471,Thu Sep 02 08:42:07 BRT 2021,Thu Sep 02 08:42:08 BRT 2021
0,1736,Thu Sep 02 08:42:08 BRT 2021,Thu Sep 02 08:42:10 BRT 2021
