#result,duration(ms),initial_time,final_time
0,4711,Thu Sep 02 10:25:31 BRT 2021,Thu Sep 02 10:25:36 BRT 2021
0,3389,Thu Sep 02 10:25:36 BRT 2021,Thu Sep 02 10:25:39 BRT 2021
0,2433,Thu Sep 02 10:25:39 BRT 2021,Thu Sep 02 10:25:42 BRT 2021
0,2041,Thu Sep 02 10:25:42 BRT 2021,Thu Sep 02 10:25:44 BRT 2021
0,1646,Thu Sep 02 10:25:44 BRT 2021,Thu Sep 02 10:25:46 BRT 2021
0,4162,Thu Sep 02 10:25:46 BRT 2021,Thu Sep 02 10:25:50 BRT 2021
0,1998,Thu Sep 02 10:25:50 BRT 2021,Thu Sep 02 10:25:52 BRT 2021
0,2078,Thu Sep 02 10:25:52 BRT 2021,Thu Sep 02 10:25:54 BRT 2021
0,1776,Thu Sep 02 10:25:54 BRT 2021,Thu Sep 02 10:25:56 BRT 2021
0,1345,Thu Sep 02 10:25:56 BRT 2021,Thu Sep 02 10:25:57 BRT 2021
0,1953,Thu Sep 02 10:25:57 BRT 2021,Thu Sep 02 10:25:59 BRT 2021
1,2107,Thu Sep 02 10:25:59 BRT 2021,Thu Sep 02 10:26:01 BRT 2021
0,1672,Thu Sep 02 10:26:01 BRT 2021,Thu Sep 02 10:26:03 BRT 2021
1,2998,Thu Sep 02 10:26:03 BRT 2021,Thu Sep 02 10:26:06 BRT 2021
0,1797,Thu Sep 02 10:26:06 BRT 2021,Thu Sep 02 10:26:07 BRT 2021
1,3771,Thu Sep 02 10:26:07 BRT 2021,Thu Sep 02 10:26:11 BRT 2021
0,1949,Thu Sep 02 10:26:11 BRT 2021,Thu Sep 02 10:26:13 BRT 2021
0,1408,Thu Sep 02 10:26:13 BRT 2021,Thu Sep 02 10:26:15 BRT 2021
0,2266,Thu Sep 02 10:26:15 BRT 2021,Thu Sep 02 10:26:17 BRT 2021
0,1347,Thu Sep 02 10:26:17 BRT 2021,Thu Sep 02 10:26:18 BRT 2021
0,2827,Thu Sep 02 10:26:18 BRT 2021,Thu Sep 02 10:26:21 BRT 2021
0,1880,Thu Sep 02 10:26:21 BRT 2021,Thu Sep 02 10:26:23 BRT 2021
-1,5815,Thu Sep 02 10:26:23 BRT 2021,Thu Sep 02 10:26:29 BRT 2021
